#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1403715894.134058 -0.8243425 -0.2742854 -0.4952040 0.0162064 -0.0053271 0.0102558 0.9998019
1403715894.584058 -0.0412544 -0.0468642 -0.0248695 0.0093729 0.0109269 -0.0187008 0.9997215
1403715894.634058 -0.0507318 -0.0499737 -0.0267908 0.0070718 0.0106649 -0.0160830 0.9997888
1403715894.684058 -0.0605957 -0.0544430 -0.0288602 0.0040366 0.0093780 -0.0118243 0.9998780
1403715894.734058 -0.0738057 -0.0611678 -0.0305575 0.0032569 0.0088970 -0.0080238 0.9999229
1403715894.784058 -0.0856846 -0.0683595 -0.0321458 0.0045749 0.0077155 -0.0037322 0.9999528
1403715894.834058 -0.0982828 -0.0771536 -0.0331572 0.0065734 0.0067245 -0.0003071 0.9999557
1403715894.884058 -0.1109294 -0.0849417 -0.0345855 0.0097785 0.0060008 0.0018189 0.9999325
1403715894.934058 -0.1240252 -0.0912508 -0.0354608 0.0135522 0.0059563 0.0028382 0.9998864
1403715894.984058 -0.1387547 -0.0980700 -0.0375957 0.0163497 0.0063406 0.0037665 0.9998391
1403715895.034058 -0.1512331 -0.1057386 -0.0392694 0.0178439 0.0059600 0.0046790 0.9998121
1403715895.084058 -0.1618630 -0.1076606 -0.0393840 0.0205179 0.0059495 0.0041102 0.9997633
1403715895.134058 -0.1743282 -0.1183166 -0.0410289 0.0190279 0.0055073 0.0058254 0.9997868
1403715895.184058 -0.1861361 -0.1232573 -0.0428410 0.0198199 0.0049351 0.0065852 0.9997697
1403715895.234058 -0.1993843 -0.1297115 -0.0438894 0.0195823 0.0045424 0.0083493 0.9997631
1403715895.284058 -0.2135874 -0.1357026 -0.0439067 0.0199357 0.0053537 0.0080057 0.9997549
1403715895.334058 -0.2260231 -0.1409696 -0.0461035 0.0202847 0.0053310 0.0087494 0.9997417
1403715895.384058 -0.2401537 -0.1480880 -0.0472185 0.0202458 0.0058774 0.0085692 0.9997410
