#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1403715894.184058 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1403715894.584058 -0.0496414 -0.0571565 -0.0283921 0.0069839 0.0124412 -0.0185384 0.9997264
1403715894.684058 -0.0693313 -0.0667412 -0.0321870 0.0009465 0.0104334 -0.0119862 0.9998733
1403715894.784058 -0.0933063 -0.0772190 -0.0354448 0.0032603 0.0078186 -0.0040718 0.9999558
1403715894.884058 -0.1197760 -0.0913622 -0.0388652 0.0101017 0.0060133 0.0015518 0.9999297
1403715895.134058 -0.1869769 -0.1306523 -0.0477968 0.0182298 0.0050359 0.0062392 0.9998017
1403715895.284058 -0.2309244 -0.1548907 -0.0530576 0.0173881 0.0052168 0.0090220 0.9997945
1403715895.384058 -0.2596539 -0.1660841 -0.0567056 0.0186887 0.0055420 0.0093510 0.9997663
1403715895.884058 -0.3954624 -0.2297674 -0.0747420 0.0170220 0.0070067 0.0120464 0.9997580
1403715895.984058 -0.4216491 -0.2410342 -0.0794215 0.0176710 0.0056749 0.0144288 0.9997236
1403715896.384058 -0.5206137 -0.2907798 -0.0919276 0.0219349 -0.0124339 0.0635631 0.9976593
1403715896.684058 -0.5385174 -0.3283367 -0.1091572 0.0337940 -0.0233531 0.0896237 0.9951282
1403715896.784058 -0.5294032 -0.3374634 -0.1168962 0.0319529 -0.0260465 0.0938495 0.9947326
1403715896.984058 -0.4879746 -0.3525689 -0.1354921 0.0184758 -0.0342014 0.1125568 0.9928846
1403715897.784058 0.0552836 -0.3822265 -0.1978079 0.0106128 -0.0141998 0.0599206 0.9980457
1403715897.884058 0.1395693 -0.3870633 -0.1991387 0.0162199 -0.0157793 0.0651719 0.9976174
1403715897.984058 0.2241065 -0.3957099 -0.2029000 0.0207891 -0.0122285 0.0587202 0.9979831
1403715898.084058 0.3095004 -0.3917915 -0.2055883 0.0357454 -0.0055393 0.0485642 0.9981649
1403715898.184058 0.3972753 -0.3970199 -0.2081022 0.0482916 0.0051383 0.0408700 0.9979836
1403715898.284058 0.4886344 -0.4072715 -0.2158075 0.0494060 0.0204457 0.0355484 0.9979365
1403715898.384058 0.5797383 -0.4028149 -0.2235828 0.0448293 0.0381280 0.0361247 0.9976130
1403715898.484058 0.6659911 -0.4014521 -0.2334828 0.0311406 0.0583607 0.0406760 0.9969803
1403715898.584058 0.7632637 -0.3856267 -0.2465084 0.0206931 0.0772669 0.0464090 0.9957147
1403715898.684058 0.8477764 -0.3806055 -0.2556979 0.0146472 0.1007521 0.0527352 0.9934050
1403715898.784058 0.9384443 -0.3641379 -0.2626400 0.0143330 0.1211952 0.0594949 0.9907405
