#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1311870431.363631 0.9933438 -0.0170245 -0.1139226 0.0000623 0.0314522 0.0025303 0.9995021
1311870431.763721 0.9911073 -0.1271437 0.0392511 0.0068811 0.0089128 0.0063999 0.9999161
1311870432.131603 0.0194568 -0.0133216 -0.0177315 0.0091195 0.0022089 -0.0084930 0.9999199
1311870432.163607 0.0203425 -0.0106116 -0.0189878 0.0092240 0.0037343 -0.0083920 0.9999152
1311870432.199461 0.0233191 -0.0112569 -0.0208480 0.0077542 0.0018382 -0.0093508 0.9999245
1311870432.231754 0.0205375 -0.0070448 -0.0159231 0.0079958 0.0014289 -0.0062152 0.9999477
1311870432.263643 0.0149037 -0.0037683 -0.0087244 0.0096284 0.0022411 -0.0035453 0.9999449
1311870432.299615 0.0162661 -0.0047231 -0.0084959 0.0105169 0.0038736 -0.0038458 0.9999298
1311870432.331460 0.0136316 -0.0022276 -0.0039651 0.0138376 0.0065833 -0.0031653 0.9998776
1311870432.363365 0.0142628 -0.0016579 -0.0032672 0.0157722 0.0093958 -0.0048895 0.9998195
1311870432.399630 0.0142951 -0.0006602 -0.0037442 0.0159352 0.0111692 -0.0068416 0.9997872
1311870432.431690 0.0145431 -0.0005577 -0.0042246 0.0138454 0.0091205 -0.0082562 0.9998285
1311870432.463520 0.0152983 -0.0011375 -0.0043106 0.0118233 0.0059446 -0.0092012 0.9998701
1311870432.499674 0.0162282 -0.0016709 -0.0039177 0.0110886 0.0049440 -0.0096693 0.9998795
1311870432.531554 0.0174393 -0.0025807 -0.0040715 0.0111217 0.0063158 -0.0102218 0.9998659
1311870432.563517 0.0179690 -0.0022050 -0.0023582 0.0136547 0.0080057 -0.0093331 0.9998311
1311870432.599522 0.0187163 -0.0018693 -0.0027754 0.0150990 0.0078986 -0.0102968 0.9998018
1311870432.631484 0.0190610 -0.0013893 -0.0026564 0.0151419 0.0074468 -0.0095515 0.9998120
1311870432.663494 0.0196020 -0.0010726 -0.0023570 0.0137061 0.0060648 -0.0075260 0.9998593
1311870432.699551 0.0205066 -0.0014924 -0.0019466 0.0122071 0.0042386 -0.0067187 0.9998940
1311870432.731507 0.0214273 -0.0016199 -0.0018357 0.0113802 0.0032118 -0.0054264 0.9999154
1311870432.763511 0.0224982 -0.0021938 -0.0017367 0.0108279 0.0034500 -0.0036567 0.9999287
1311870432.799641 0.0229384 -0.0018444 -0.0015367 0.0116248 0.0043804 -0.0019310 0.9999210
1311870432.831541 0.0236072 -0.0011005 -0.0013328 0.0111299 0.0051680 -0.0008244 0.9999244
1311870432.863631 0.0240983 -0.0017186 -0.0014645 0.0097669 0.0056613 -0.0002847 0.9999362
1311870432.899615 0.0243604 -0.0016515 -0.0012772 0.0099168 0.0056260 0.0001133 0.9999350
1311870432.931572 0.0249284 -0.0010375 -0.0016412 0.0098168 0.0043255 0.0004591 0.9999424
1311870432.963562 0.0251237 -0.0014549 -0.0015817 0.0086729 0.0037476 -0.0001597 0.9999554
1311870432.999630 0.0256277 -0.0018272 -0.0015057 0.0084531 0.0032808 0.0002195 0.9999589
1311870433.031584 0.0259831 -0.0013918 -0.0007549 0.0094841 0.0026164 0.0014718 0.9999505
