#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1225719856.163227 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1225719856.563210 -0.0000343 -0.0146270 0.0470971 0.0044644 0.0069907 -0.0005420 0.9999654
1225719856.663210 -0.0003847 -0.0184711 0.0592807 0.0068101 0.0101525 -0.0024796 0.9999222
1225719856.713211 -0.0004899 -0.0203735 0.0652569 0.0083421 0.0101808 -0.0032597 0.9999081
1225719856.913195 0.0001212 -0.0284900 0.0896034 0.0114547 0.0024700 -0.0033736 0.9999257
1225719857.313196 -0.0009567 -0.0449051 0.1388129 0.0178487 0.0048151 -0.0066473 0.9998070
1225719857.463180 -0.0012181 -0.0503868 0.1574056 0.0183870 0.0035006 -0.0081043 0.9997920
1225719857.763166 -0.0011971 -0.0624375 0.1940341 0.0166934 0.0005432 -0.0079179 0.9998292
1225719857.863158 -0.0018144 -0.0662229 0.2058158 0.0182554 0.0009589 -0.0092545 0.9997901
1225719858.263143 -0.0026243 -0.0815288 0.2517897 0.0196761 0.0023172 -0.0107493 0.9997459
1225719858.463134 -0.0031789 -0.0886464 0.2746250 0.0169815 -0.0007020 -0.0125507 0.9997768
1225719858.663127 -0.0024508 -0.0954871 0.2968388 0.0163278 -0.0084600 -0.0102222 0.9997786
1225719858.863120 -0.0032984 -0.1027148 0.3198633 0.0082306 0.0016842 -0.0108143 0.9999062
1225719858.963113 -0.0049495 -0.1061670 0.3309350 0.0055990 0.0051837 -0.0147858 0.9998615
1225719859.063112 -0.0045465 -0.1094375 0.3419230 0.0036758 -0.0021009 -0.0142831 0.9998890
1225719859.563090 -0.0035360 -0.1281505 0.3988734 -0.0030011 -0.0043881 -0.0089679 0.9999456
1225719859.663089 -0.0044529 -0.1323417 0.4105012 -0.0051966 0.0058893 -0.0108665 0.9999101
1225719859.763082 -0.0062603 -0.1359295 0.4220234 -0.0056714 0.0085010 -0.0162154 0.9998163
1225719859.963076 -0.0044476 -0.1436018 0.4462901 -0.0037718 -0.0059989 -0.0118249 0.9999050
1225719860.163066 -0.0068471 -0.1515764 0.4724563 -0.0059610 -0.0010413 -0.0171701 0.9998342
1225719860.263065 -0.0061742 -0.1559935 0.4856431 -0.0073210 -0.0121354 -0.0149709 0.9997874
1225719860.363060 -0.0041044 -0.1605043 0.4991401 -0.0078026 -0.0189004 -0.0078239 0.9997603
1225719860.513051 -0.0055574 -0.1672262 0.5194732 -0.0068303 -0.0048257 -0.0089164 0.9999253
1225719860.813043 -0.0050746 -0.1810036 0.5606347 -0.0007546 -0.0191351 -0.0058869 0.9997993
1225719860.913038 -0.0060077 -0.1856428 0.5751154 0.0007794 -0.0103261 -0.0064930 0.9999253
1225719861.063028 -0.0102501 -0.1925929 0.5971336 0.0013793 0.0046947 -0.0172796 0.9998387
1225719861.363020 -0.0058271 -0.2074064 0.6404517 0.0088822 -0.0140561 -0.0022830 0.9998592
1225719861.513011 -0.0090325 -0.2146435 0.6631058 0.0113838 0.0049862 -0.0090181 0.9998821
1225719861.663005 -0.0084072 -0.2214450 0.6853073 0.0176167 0.0081668 -0.0078534 0.9997806
1225719861.812998 -0.0054044 -0.2293964 0.7070433 0.0201810 0.0094521 0.0023119 0.9997490
1225719861.962990 -0.0041941 -0.2366186 0.7289190 0.0224453 0.0270925 0.0047670 0.9993696
1225719862.112990 -0.0038566 -0.2437033 0.7502738 0.0235291 0.0464072 0.0036384 0.9986388
1225719862.262982 0.0000577 -0.2503664 0.7717218 0.0229658 0.0543805 0.0096403 0.9982096
1225719862.412973 0.0026918 -0.2571455 0.7927690 0.0232943 0.0686850 0.0116358 0.9972985
1225719862.862958 0.0171238 -0.2774754 0.8537283 0.0215348 0.0961268 0.0280868 0.9947397
1225719863.012952 0.0205511 -0.2838192 0.8730924 0.0257276 0.1180530 0.0271928 0.9923014
1225719863.162945 0.0278413 -0.2897352 0.8920290 0.0277563 0.1312591 0.0348200 0.9903475
1225719863.262944 0.0323102 -0.2939283 0.9051325 0.0268886 0.1446681 0.0378691 0.9883896
1225719863.512930 0.0426606 -0.3037109 0.9362355 0.0263889 0.1777531 0.0401682 0.9829008
1225719863.612929 0.0493089 -0.3075306 0.9478406 0.0264609 0.1833816 0.0467221 0.9815743
1225719863.712922 0.0557063 -0.3116525 0.9592978 0.0248133 0.1911190 0.0522321 0.9798620
1225719864.012913 0.0729466 -0.3230981 0.9938995 0.0207204 0.2108244 0.0584706 0.9755536
1225719864.112908 0.0806743 -0.3265764 1.0039473 0.0227827 0.2074740 0.0658536 0.9757555
1225719864.212898 0.0874781 -0.3302528 1.0149457 0.0227667 0.2109764 0.0698919 0.9747234
1225719864.312898 0.0919864 -0.3342242 1.0268842 0.0191615 0.2204069 0.0673897 0.9728886
1225719864.412892 0.0970116 -0.3379556 1.0386146 0.0169452 0.2254967 0.0644484 0.9719622
1225719864.512891 0.1034319 -0.3415742 1.0493752 0.0156997 0.2222555 0.0662185 0.9726105
1225719864.762882 0.1201011 -0.3507877 1.0765963 0.0179098 0.2225055 0.0717127 0.9721254
1225719865.062870 0.1369931 -0.3617598 1.1099389 0.0177715 0.2218799 0.0685588 0.9724984
1225719865.212859 0.1470948 -0.3671930 1.1267610 0.0148669 0.2221124 0.0720906 0.9722387
1225719865.362853 0.1528998 -0.3730803 1.1462901 0.0098701 0.2370349 0.0607404 0.9695503
1225719865.662843 0.1747387 -0.3849983 1.1781031 0.0119066 0.2119486 0.0706660 0.9746498
1225719865.812837 0.1806493 -0.3913080 1.1969007 0.0105193 0.2299844 0.0613429 0.9712021
1225719865.962828 0.1889149 -0.3973919 1.2143846 0.0136932 0.2227460 0.0569063 0.9731179
1225719866.112821 0.2019560 -0.4023935 1.2291261 0.0223969 0.2082918 0.0679435 0.9754469
1225719866.262820 0.2075154 -0.4083382 1.2486981 0.0199584 0.2235692 0.0573267 0.9727960
1225719866.412813 0.2165656 -0.4140942 1.2668451 0.0182549 0.2142824 0.0575529 0.9749038
1225719866.562805 0.2304218 -0.4192894 1.2822318 0.0216253 0.1990283 0.0727776 0.9770484
1225719866.862790 0.2447380 -0.4309883 1.3187243 0.0249725 0.2139292 0.0631043 0.9744889
1225719867.012789 0.2585499 -0.4364740 1.3339959 0.0260547 0.2015313 0.0779895 0.9760246
1225719867.212782 0.2668732 -0.4444550 1.3594708 0.0207843 0.2234924 0.0684145 0.9720795
1225719867.412767 0.2811112 -0.4517082 1.3810058 0.0265667 0.2097977 0.0740022 0.9745783
1225719867.562766 0.2909491 -0.4576062 1.3976178 0.0210596 0.2147064 0.0781915 0.9733158
1225719867.762758 0.2987489 -0.4657655 1.4223281 0.0167854 0.2252833 0.0655241 0.9719425
1225719867.962751 0.3148174 -0.4730567 1.4414386 0.0225106 0.2038947 0.0793948 0.9755085
1225719868.162738 0.3238018 -0.4806551 1.4647086 0.0199356 0.2194896 0.0732505 0.9726568
1225719868.362728 0.3381661 -0.4874456 1.4857316 0.0192248 0.2076851 0.0819579 0.9745667
1225719868.512728 0.3466055 -0.4928536 1.5027661 0.0174589 0.2143385 0.0818944 0.9731637
1225719868.662721 0.3525213 -0.4992455 1.5209944 0.0118896 0.2263668 0.0730197 0.9712285
1225719868.862712 0.3663589 -0.5066265 1.5426130 0.0136613 0.2104146 0.0770834 0.9744728
1225719869.062706 0.3776057 -0.5142714 1.5659889 0.0150771 0.2164077 0.0749831 0.9733026
1225719869.262696 0.3895037 -0.5217462 1.5898578 0.0181549 0.2171390 0.0729781 0.9732395
1225719869.412689 0.4025574 -0.5272807 1.6060436 0.0226177 0.2095712 0.0847115 0.9738544
1225719869.612681 0.4153289 -0.5352727 1.6303326 0.0236732 0.2266220 0.0856479 0.9699209
1225719869.812674 0.4329009 -0.5429590 1.6517714 0.0323911 0.2237391 0.0995716 0.9690083
1225719870.012665 0.4481515 -0.5510280 1.6753247 0.0314580 0.2494060 0.1049210 0.9621843
1225719870.212659 0.4624193 -0.5590287 1.6974109 0.0366812 0.2690941 0.1044005 0.9567358
1225719870.362651 0.4757966 -0.5640877 1.7129322 0.0371073 0.2789133 0.1109520 0.9531632
1225719870.562642 0.4905275 -0.5719510 1.7354991 0.0307393 0.2985611 0.1083247 0.9477247
1225719870.712634 0.5044377 -0.5771020 1.7492614 0.0342260 0.2944444 0.1147425 0.9481378
1225719871.012620 0.5283340 -0.5872784 1.7792273 0.0329004 0.3119712 0.1141967 0.9426296
1225719871.212612 0.5471393 -0.5935746 1.7974331 0.0329508 0.3101299 0.1230449 0.9421219
1225719871.362606 0.5597101 -0.5983034 1.8123965 0.0298278 0.3195941 0.1246406 0.9388475
1225719871.512605 0.5712472 -0.6038315 1.8276230 0.0281778 0.3302309 0.1207817 0.9357165
1225719871.712597 0.5903494 -0.6102868 1.8442235 0.0309329 0.3307992 0.1285007 0.9343996
1225719871.912582 0.6072221 -0.6170287 1.8631564 0.0285358 0.3503263 0.1268648 0.9275573
1225719872.112575 0.6249359 -0.6234233 1.8800155 0.0265323 0.3553482 0.1296771 0.9253148
1225719872.312567 0.6440269 -0.6289956 1.8971217 0.0209252 0.3713624 0.1343221 0.9184822
1225719872.512559 0.6601605 -0.6357554 1.9151633 0.0160519 0.3822424 0.1270090 0.9151512
1225719872.662552 0.6761371 -0.6395048 1.9256196 0.0198911 0.3759202 0.1333293 0.9167942
1225719872.862546 0.6939480 -0.6456623 1.9438210 0.0143892 0.3871551 0.1297006 0.9127331
1225719873.012545 0.7097061 -0.6499255 1.9556668 0.0158691 0.3784468 0.1330672 0.9158708
1225719873.212535 0.7311000 -0.6552798 1.9719045 0.0163158 0.3773865 0.1389100 0.9154328
1225719873.612514 0.7717044 -0.6685629 2.0071607 0.0185583 0.3798966 0.1354180 0.9148750
1225719873.812506 0.7918536 -0.6757693 2.0255485 0.0173465 0.3908736 0.1326641 0.9106685
1225719873.962505 0.8079603 -0.6807294 2.0382352 0.0187384 0.3879405 0.1331410 0.9118248
1225719874.112497 0.8253490 -0.6853296 2.0502372 0.0223790 0.3864145 0.1377472 0.9117065
1225719874.262489 0.8404088 -0.6903149 2.0652399 0.0206851 0.4019752 0.1324847 0.9057791
1225719874.562474 0.8747407 -0.6993601 2.0904877 0.0282767 0.4078828 0.1337330 0.9027444
1225719874.712474 0.8929015 -0.7032974 2.1038458 0.0290330 0.4180674 0.1350892 0.8978462
1225719874.862465 0.9093957 -0.7081098 2.1173117 0.0292061 0.4307790 0.1320601 0.8922649
1225719875.162451 0.9466787 -0.7161020 2.1391532 0.0378597 0.4417882 0.1379988 0.8856332
1225719875.312444 0.9627885 -0.7208328 2.1531518 0.0341848 0.4540102 0.1299385 0.8808076
1225719875.462446 0.9812975 -0.7243316 2.1628621 0.0372465 0.4450195 0.1345524 0.8845710
1225719875.762428 1.0148182 -0.7325852 2.1869457 0.0274391 0.4544712 0.1319741 0.8805032
1225719875.912421 1.0312912 -0.7364222 2.1978500 0.0279352 0.4514250 0.1305504 0.8822651
1225719876.062413 1.0489900 -0.7396679 2.2059770 0.0327385 0.4427745 0.1361333 0.8856335
1225719876.612389 1.1061206 -0.7533284 2.2432034 0.0234581 0.4408425 0.1425479 0.8858824
1225719876.812381 1.1270882 -0.7578014 2.2560704 0.0253330 0.4349084 0.1450649 0.8883519
1225719877.012373 1.1477749 -0.7623271 2.2697763 0.0224636 0.4422193 0.1462044 0.8846253
1225719877.212366 1.1678693 -0.7676033 2.2853336 0.0152206 0.4451120 0.1428152 0.8838820
1225719877.412359 1.1904311 -0.7720309 2.2973330 0.0134557 0.4380996 0.1506915 0.8861037
1225719877.612351 1.2107576 -0.7776912 2.3137753 0.0094375 0.4434643 0.1435807 0.8846666
1225719877.762343 1.2292166 -0.7804973 2.3214445 0.0191139 0.4247755 0.1519697 0.8922475
1225719878.012335 1.2574940 -0.7872121 2.3413973 0.0168535 0.4416057 0.1519947 0.8840803
1225719878.212332 1.2818152 -0.7921377 2.3560047 0.0206459 0.4373056 0.1532452 0.8859196
1225719878.412319 1.3064775 -0.7972822 2.3710880 0.0248280 0.4414642 0.1540791 0.8836020
1225719878.612310 1.3308296 -0.8029507 2.3872840 0.0277185 0.4429254 0.1507337 0.8833618
1225719878.812306 1.3565195 -0.8085080 2.4029136 0.0301096 0.4429329 0.1521260 0.8830411
1225719879.012297 1.3804846 -0.8147082 2.4203360 0.0298808 0.4493061 0.1445540 0.8810989
1225719879.212289 1.4071201 -0.8196164 2.4341807 0.0383034 0.4379240 0.1495604 0.8856564
1225719879.512272 1.4450765 -0.8281564 2.4583278 0.0412914 0.4434111 0.1509000 0.8825592
