#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1.666667 0.0389345 -0.0009333 -0.0011923 0.0036940 0.0777273 -0.0442562 0.9959850
1.700000 0.0396950 -0.0018932 -0.0020498 0.0034351 0.0824148 -0.0463197 0.9955152
1.733333 0.0418779 -0.0019749 -0.0023168 0.0037226 0.0866498 -0.0477212 0.9950883
1.766667 0.0435440 -0.0017492 -0.0034663 0.0043041 0.0912903 -0.0495201 0.9945830
1.800000 0.0449248 -0.0007271 -0.0034100 0.0043745 0.0958496 -0.0509789 0.9940799
1.833333 0.0445471 -0.0031443 -0.0041529 0.0023635 0.1011052 -0.0530682 0.9934565
1.866667 0.0442252 -0.0035267 -0.0032322 0.0020329 0.1065214 -0.0553435 0.9927669
1.900000 0.0449521 -0.0039758 -0.0034585 0.0018314 0.1110103 -0.0577205 0.9921400
1.933333 0.0457610 -0.0052854 -0.0040170 0.0010449 0.1157195 -0.0603202 0.9914481
1.966667 0.0464979 -0.0027831 -0.0037244 0.0023551 0.1204120 -0.0628895 0.9907272
2.000000 0.0461779 -0.0028904 -0.0041482 0.0028271 0.1256387 -0.0657537 0.9898906
2.033333 0.0474187 -0.0026119 -0.0056919 0.0034910 0.1298384 -0.0682424 0.9891778
2.066667 0.0477366 -0.0028537 -0.0052541 0.0032197 0.1347877 -0.0716703 0.9882739
2.100000 0.0510537 -0.0022269 -0.0050176 0.0033877 0.1385293 -0.0740165 0.9875828
2.133333 0.0513898 -0.0015491 -0.0057097 0.0040152 0.1436393 -0.0767071 0.9866446
2.166667 0.0523271 -0.0016384 -0.0063176 0.0043955 0.1484278 -0.0787823 0.9857703
2.200000 0.0530110 -0.0006037 -0.0064338 0.0050372 0.1537663 -0.0812768 0.9847460
2.233333 0.0531190 -0.0004224 -0.0071067 0.0052863 0.1593103 -0.0841237 0.9836236
2.266667 0.0539292 -0.0026811 -0.0085578 0.0044499 0.1639643 -0.0865014 0.9826563
2.300000 0.0576861 -0.0007333 -0.0092497 0.0059424 0.1676519 -0.0882145 0.9818736
2.333333 0.0603793 -0.0024467 -0.0104267 0.0060086 0.1709888 -0.0910891 0.9810349
2.366667 0.0615679 -0.0027888 -0.0106451 0.0061470 0.1754217 -0.0936513 0.9800096
2.400000 0.0622564 -0.0041614 -0.0113169 0.0057923 0.1802224 -0.0967247 0.9788415
2.433333 0.0645134 -0.0030553 -0.0118120 0.0065273 0.1842896 -0.0996509 0.9777855
2.466667 0.0654242 -0.0038605 -0.0126541 0.0060258 0.1892878 -0.1023311 0.9765563
2.500000 0.0660653 -0.0045338 -0.0131524 0.0059775 0.1937279 -0.1049236 0.9754101
2.533333 0.0672198 -0.0031150 -0.0136813 0.0070468 0.1984784 -0.1072698 0.9741919
2.566667 0.0681428 -0.0036396 -0.0143365 0.0073892 0.2027617 -0.1088628 0.9731300
2.600000 0.0704714 -0.0046227 -0.0156260 0.0074009 0.2062512 -0.1107892 0.9721787
2.633333 0.0697592 -0.0039411 -0.0167837 0.0080966 0.2151892 -0.1159496 0.9696307
2.666667 0.0682992 -0.0044399 -0.0166954 0.0077335 0.2199711 -0.1190265 0.9681867
2.700000 0.0700884 -0.0077419 -0.0180542 0.0063825 0.2231137 -0.1203793 0.9673099
2.733333 0.0711124 -0.0078417 -0.0194298 0.0065827 0.2267577 -0.1229433 0.9661379
2.766667 0.0705198 -0.0100720 -0.0190631 0.0055394 0.2311081 -0.1244850 0.9649155
2.800000 0.0698402 -0.0081575 -0.0181100 0.0067430 0.2355518 -0.1273264 0.9634614
2.833333 0.0688560 -0.0072129 -0.0188614 0.0072894 0.2401341 -0.1295993 0.9620221
2.866667 0.0726345 -0.0107536 -0.0203235 0.0060094 0.2420719 -0.1316989 0.9612598
2.900000 0.0755291 -0.0104953 -0.0214178 0.0061096 0.2444036 -0.1336573 0.9603985
2.933333 0.0764168 -0.0091544 -0.0223744 0.0062309 0.2480566 -0.1354858 0.9592042
2.966667 0.0737980 -0.0113802 -0.0220631 0.0046346 0.2530170 -0.1378925 0.9575733
3.000000 0.0731780 -0.0119367 -0.0227702 0.0043002 0.2569088 -0.1406277 0.9561397
3.033333 0.0748838 -0.0117687 -0.0234811 0.0043344 0.2596285 -0.1416728 0.9552503
3.066667 0.0745981 -0.0127085 -0.0240140 0.0031752 0.2631878 -0.1430539 0.9540743
3.100000 0.0795256 -0.0109446 -0.0246134 0.0040376 0.2646228 -0.1440570 0.9535230
3.133333 0.0804594 -0.0110054 -0.0247600 0.0038957 0.2671285 -0.1457525 0.9525667
3.166667 0.0815399 -0.0157554 -0.0270715 0.0015872 0.2693558 -0.1473133 0.9517057
3.200000 0.0825452 -0.0130542 -0.0270565 0.0024669 0.2722621 -0.1488446 0.9506380
3.233333 0.0864139 -0.0168405 -0.0293797 0.0004328 0.2731177 -0.1491179 0.9503527
3.266667 0.0862893 -0.0145676 -0.0294020 0.0014761 0.2756335 -0.1495997 0.9495493
3.300000 0.0845251 -0.0199710 -0.0292678 -0.0009715 0.2782007 -0.1505946 0.9486436
3.333333 0.0851939 -0.0168636 -0.0288599 0.0004825 0.2801508 -0.1519999 0.9478456
3.366667 0.0863591 -0.0146194 -0.0298498 0.0008578 0.2819742 -0.1532606 0.9471014
