#TimeStamp Tx Ty Tz Qx Qy Qz Qw
3192918784.917693 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
3192918785.181695 -0.0388116 0.0009655 0.0016605 0.0013658 0.0285731 -0.0110129 0.9995301
3192918785.247696 -0.0443461 0.0011162 0.0020374 -0.0031011 0.0363387 -0.0097633 0.9992870
3192918785.709699 -0.0664279 -0.0052055 0.0186462 -0.0025954 0.0837154 0.0190965 0.9963033
3192918786.270702 -0.0540984 -0.0440331 0.0721500 0.0347473 0.1325507 0.0725527 0.9879064
3192918786.303704 -0.0529633 -0.0468937 0.0749454 0.0335746 0.1389499 0.0767998 0.9867459
3192918786.798707 -0.0658153 -0.0916048 0.1473077 0.0494767 0.2662120 0.1432951 0.9519190
3192918786.897708 -0.0713849 -0.1039905 0.1597857 0.0539481 0.2938239 0.1535643 0.9418998
3192918786.963708 -0.0742297 -0.1105197 0.1683688 0.0564060 0.3098619 0.1590788 0.9356804
3192918787.161710 -0.0751418 -0.1251646 0.1906061 0.0463695 0.3317975 0.1707387 0.9266113
3192918787.227710 -0.0729954 -0.1299996 0.1976246 0.0470579 0.3306634 0.1725904 0.9266390
3192918787.656713 -0.0266273 -0.1652932 0.2462058 0.0864222 0.3077765 0.1878878 0.9287104
3192918788.250718 0.0534818 -0.2100745 0.3079712 0.0980126 0.2968375 0.1545141 0.9372334
3192918788.316719 0.0643370 -0.2160715 0.3176178 0.0984381 0.2984322 0.1522524 0.9370525
3192918788.646721 0.1243482 -0.2499808 0.3563731 0.0854162 0.3060180 0.1615037 0.9343306
3192918788.943725 0.1812850 -0.2714678 0.3807846 0.0990427 0.2959214 0.1679342 0.9351038
3192918789.009725 0.1965545 -0.2746618 0.3869624 0.1011307 0.2858357 0.1682331 0.9379596
3192918789.537730 0.2960033 -0.3150864 0.4354219 0.1106691 0.2731234 0.1563309 0.9427177
3192918789.768731 0.3254997 -0.3392472 0.4717900 0.1123242 0.2954486 0.1466430 0.9373309
