#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520617230.108111 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1520617231.858111 -0.0043524 -0.0113595 0.0072439 0.0317958 -0.0203458 0.0206006 0.9990749
1520617237.908614 0.3115213 -0.0211967 0.0325480 -0.0474249 0.1083094 0.0051449 0.9929720
1520617239.909082 -0.0882438 -0.0025336 0.0204940 -0.1479805 -0.4019164 0.0422685 0.9026507
1520617243.609065 -0.0361929 0.0064775 -0.0419373 -0.0928471 -0.4691623 0.0076209 0.8781845
1520617243.859073 -0.0776424 -0.0532421 -0.0390847 -0.0078774 -0.5369371 0.1283853 0.8337588
1520617248.458612 0.1751229 0.0375014 -0.0626382 -0.2451283 0.2945618 0.0740497 0.9206856
1520617248.559357 0.1880367 0.0346043 -0.0662209 -0.2555346 0.3299837 0.0263642 0.9083599
1520617248.659360 0.1979949 0.0233630 -0.0665770 -0.2386745 0.3582916 -0.0241188 0.9022638
1520617248.759363 0.2018043 0.0034927 -0.0620931 -0.1962142 0.3677352 -0.0706415 0.9062453
1520617250.609072 -0.0958163 -0.0496212 -0.0528793 -0.0241537 -0.5161783 0.1294672 0.8462948
1520617250.759076 -0.0799015 -0.0646113 -0.0356545 -0.0247252 -0.4609245 0.1479907 0.8746634
1520617253.158668 0.3192149 -0.1057408 0.1208310 0.3631601 -0.0402558 0.0377976 0.9300890
1520617253.308673 0.3160660 -0.1091330 0.1209431 0.3673772 -0.0342627 0.0504190 0.9280722
1520617253.458461 0.3071494 -0.0820143 0.1256171 0.1823811 -0.0333836 0.0505773 0.9813585
1520617260.659193 0.2053843 0.0213407 -0.1250609 -0.0903046 -0.0332206 0.1014035 0.9901812
1520617260.759299 0.1972522 0.0227755 -0.1334196 -0.1026600 -0.0030742 0.0476417 0.9935702
1520617260.859244 0.1887628 0.0209070 -0.1394086 -0.0948519 0.0375007 -0.0392358 0.9940107
1520617261.459313 0.0747938 0.0202011 -0.1758623 -0.0710631 -0.0419441 0.1075610 0.9907681
1520617261.959271 -0.0322660 0.0091613 -0.1664084 -0.0201757 -0.0501796 -0.0535845 0.9970976
1520617262.059275 -0.0604843 0.0042137 -0.1648169 -0.0475074 -0.1397548 0.0479896 0.9878809
1520617262.309285 -0.1156025 0.0039659 -0.1504468 -0.1010417 -0.1991568 0.0988644 0.9697180
1520617262.609295 -0.1552101 0.0019149 -0.1028031 0.0181732 -0.1041049 -0.1610240 0.9812763
1520617263.059294 -0.1890071 -0.0116063 -0.0325742 -0.0381205 -0.1195827 0.1266939 0.9839692
1520617263.359210 -0.1742312 -0.0276477 0.0198316 0.0795107 -0.1860502 0.0054583 0.9793026
1520617263.659058 -0.1333536 -0.0280294 0.0686685 0.0306557 -0.1895323 0.0622772 0.9794178
1520617263.809062 -0.1011830 -0.0249276 0.0940439 0.0355366 -0.1781718 0.1105619 0.9771223
1520617263.959067 -0.0586128 -0.0173922 0.1199065 0.0201301 -0.0865977 0.0833796 0.9925439
1520617264.109154 -0.0127997 -0.0127779 0.1385325 -0.0154060 0.0129174 0.0810828 0.9965046
1520617264.259159 0.0349806 -0.0100812 0.1524147 -0.0135727 0.0998329 0.0823941 0.9914940
1520617264.409647 0.0881838 -0.0054616 0.1607022 0.0061067 0.1871401 0.0400601 0.9814970
1520617264.709656 0.1873770 -0.0023796 0.1676706 0.0142277 0.2948267 -0.0439113 0.9544352
1520617264.859543 0.2320821 0.0068030 0.1728046 -0.0264033 0.3227896 -0.0316587 0.9455726
1520617265.009548 0.2783893 0.0155531 0.1823614 -0.0587330 0.3389726 -0.0281888 0.9385379
1520617265.159554 0.3251592 0.0152629 0.1943320 -0.0778725 0.3664860 -0.0298572 0.9266782
1520617265.309806 0.3659185 0.0109916 0.2068042 -0.0800619 0.3775079 -0.0148427 0.9224194
1520617265.459811 0.4031160 0.0119683 0.2219564 -0.0694117 0.3680881 -0.0163407 0.9270524
1520617265.609816 0.4372963 0.0146125 0.2394054 -0.0567701 0.3324075 -0.0179618 0.9412544
1520617265.759982 0.4673309 0.0139402 0.2589502 -0.0632812 0.2915656 -0.0183091 0.9542797
1520617265.909987 0.4911278 0.0115930 0.2807970 -0.0716781 0.2362040 -0.0026417 0.9690526
1520617266.060494 0.5145411 0.0149496 0.3069428 -0.0643926 0.1996451 -0.0157270 0.9776237
1520617266.160497 0.5298866 0.0187494 0.3261196 -0.0664018 0.1764621 -0.0198255 0.9818650
1520617266.260501 0.5438525 0.0199962 0.3461651 -0.0687448 0.1530189 -0.0168607 0.9856851
1520617266.360504 0.5571601 0.0176260 0.3658252 -0.0701880 0.1355642 -0.0243732 0.9879787
1520617266.460898 0.5683798 0.0150052 0.3851454 -0.0676622 0.1174559 -0.0218790 0.9905288
1520617266.560901 0.5775945 0.0155366 0.4048498 -0.0661905 0.0959341 -0.0164930 0.9930475
1520617266.660905 0.5880677 0.0179052 0.4258673 -0.0612278 0.0751400 -0.0241365 0.9949988
1520617266.760908 0.5973337 0.0203569 0.4475033 -0.0564658 0.0469131 -0.0257202 0.9969701
1520617266.860565 0.6034743 0.0207253 0.4682765 -0.0508507 0.0123056 -0.0262775 0.9982846
1520617266.961050 0.6079422 0.0204235 0.4881289 -0.0569400 -0.0302530 -0.0295365 0.9974819
1520617267.061053 0.6104596 0.0199575 0.5077332 -0.0667633 -0.0630923 -0.0329623 0.9952264
1520617267.161056 0.6115311 0.0212609 0.5277545 -0.0700394 -0.0924749 -0.0310567 0.9927630
1520617267.261059 0.6124116 0.0251112 0.5502523 -0.0679657 -0.1256183 -0.0402145 0.9889305
1520617267.361458 0.6105528 0.0280967 0.5737514 -0.0653315 -0.1532627 -0.0426962 0.9850987
1520617267.561464 0.6052765 0.0222663 0.6209996 -0.0573997 -0.1964353 -0.0500072 0.9775570
1520617267.763043 0.5931154 0.0236521 0.6646936 -0.0559523 -0.2457453 -0.0562195 0.9660838
1520617268.063053 0.5605499 0.0332601 0.7232885 -0.0560820 -0.3619208 -0.0676907 0.9280550
1520617268.165729 0.5459691 0.0324557 0.7392840 -0.0623183 -0.4124584 -0.0721274 0.9059758
1520617268.365736 0.5123667 0.0343924 0.7660718 -0.0543128 -0.4993593 -0.0833279 0.8606666
1520617268.465737 0.4915760 0.0374345 0.7785026 -0.0439301 -0.5346308 -0.0876852 0.8393756
1520617268.567560 0.4678407 0.0406968 0.7895354 -0.0430726 -0.5610852 -0.0867958 0.8220673
1520617268.667563 0.4433278 0.0412225 0.7996587 -0.0455850 -0.5818408 -0.0827853 0.8077933
1520617268.867569 0.3964107 0.0363331 0.8138080 -0.0364289 -0.6281889 -0.0686593 0.7741689
1520617269.067888 0.3444037 0.0368772 0.8274122 -0.0173652 -0.6559055 -0.0253448 0.7542176
1520617269.167892 0.3187580 0.0350428 0.8326409 -0.0207604 -0.6754490 -0.0110894 0.7370310
1520617269.267895 0.2949177 0.0325114 0.8357707 -0.0181567 -0.7066898 -0.0132946 0.7071655
1520617269.367325 0.2712453 0.0300778 0.8350649 -0.0276384 -0.7338413 -0.0268121 0.6782287
1520617269.467329 0.2465134 0.0314094 0.8349996 -0.0438652 -0.7464833 -0.0508906 0.6620036
1520617269.567332 0.2201424 0.0345005 0.8335007 -0.0405848 -0.7542315 -0.0586457 0.6527238
1520617269.667335 0.1918963 0.0365076 0.8319476 -0.0409332 -0.7639553 -0.0516937 0.6418914
1520617269.768190 0.1634929 0.0335973 0.8298171 -0.0364857 -0.7623416 -0.0471368 0.6444239
1520617269.918195 0.1223525 0.0237741 0.8274511 -0.0218158 -0.7518913 -0.0269248 0.6583757
1520617270.018198 0.0944883 0.0220134 0.8259144 -0.0273902 -0.7497802 -0.0115977 0.6610180
1520617270.118201 0.0653830 0.0248539 0.8239946 -0.0367251 -0.7457625 -0.0125757 0.6650801
1520617270.268206 0.0212310 0.0249414 0.8204532 -0.0310561 -0.7502350 -0.0070279 0.6604041
1520617270.568215 -0.0623332 0.0174200 0.8055478 -0.0074915 -0.7655414 0.0094789 0.6432731
1520617270.718220 -0.1055375 0.0240322 0.7959076 -0.0214171 -0.7670137 0.0166207 0.6410578
1520617270.868224 -0.1486402 0.0237941 0.7890962 -0.0210761 -0.7542352 -0.0022401 0.6562622
