#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520437769.068617 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1520437771.418685 0.0329190 0.0016583 -0.0034779 0.0125212 0.0182251 0.0215231 0.9995238
1520437799.319361 -0.2197743 0.0086863 -0.1823428 -0.0344248 -0.3783118 0.0415569 0.9241039
1520437800.919546 -0.3051249 0.0024849 -0.2167250 -0.0463232 -0.4082701 0.1150018 0.9044027
1520437802.319637 -0.3220668 0.0557189 -0.1521313 -0.0754210 -0.2624154 0.0438854 0.9610015
1520437806.369908 0.3954526 0.0261233 -0.1480849 0.0470239 0.2362889 -0.0548088 0.9689955
1520437806.469911 0.4122683 -0.0349527 -0.1439283 0.1238683 0.2402218 -0.0940795 0.9581749
1520437809.119808 0.5018235 0.0791058 -0.1144432 -0.0300538 0.1913403 -0.0078097 0.9810324
1520437810.469857 0.1150193 0.0608342 -0.1889075 -0.0575857 -0.3347840 0.0126597 0.9404485
1520437810.619861 0.0695023 0.0013366 -0.2140253 -0.0290339 -0.3940321 0.0901039 0.9142084
1520437810.769866 0.0484231 -0.0674951 -0.1835404 0.0475855 -0.3929594 0.1853433 0.8994256
1520437813.270363 -0.3016593 0.0758088 0.0500094 -0.1072325 -0.3314797 0.0277488 0.9369378
1520437813.370366 -0.3315540 0.0356548 0.0290580 -0.1009231 -0.3751585 0.0836710 0.9176436
1520437813.470369 -0.3480075 -0.0140985 0.0233200 -0.0610008 -0.3911736 0.1348955 0.9083310
1520437813.570372 -0.3508204 -0.0636432 0.0346141 0.0310827 -0.3714566 0.1825314 0.9098001
1520437821.920512 -0.2185228 -0.0545378 -0.1644789 0.1274065 -0.4365826 0.1409062 0.8793797
1520437822.070518 -0.2283451 -0.1247447 -0.1494949 0.2028401 -0.3983363 0.2232978 0.8662114
1520437822.220522 -0.2184202 -0.1564381 -0.1248319 0.2418217 -0.3124498 0.2731547 0.8770883
1520437828.570376 -0.0130078 0.0077072 0.0603944 0.0753938 0.3263128 0.2066425 0.9193121
1520437828.720381 -0.0045817 0.0187017 0.0353372 0.0227208 0.4259162 0.0775289 0.9011484
1520437828.870513 -0.0227786 0.0183998 0.0253002 0.0221208 0.3515823 -0.0547069 0.9342953
1520437834.370738 0.2486785 0.0137071 0.0148980 0.0666555 -0.3483690 -0.0533610 0.9334606
1520437834.520655 0.2041266 0.0110770 -0.0107420 0.0661308 -0.4403216 -0.0267578 0.8950015
1520437834.670660 0.1706850 0.0068714 -0.0276735 0.0727787 -0.4454429 0.0055473 0.8923302
1520437834.820666 0.1533053 0.0019343 -0.0321738 0.0828117 -0.3836491 0.0847952 0.9158413
1520437835.470619 0.1926714 0.0115529 -0.0765686 0.0572095 0.3542352 0.1485471 0.9215087
1520437838.670764 0.3367920 0.0156713 0.1477951 0.0716899 0.1480262 -0.0144613 0.9862757
1520437841.820870 0.3524498 0.0302082 0.1437458 0.0250648 0.0462826 0.0127232 0.9985328
1520437842.120913 0.4000486 0.0325008 0.1579951 0.0223156 0.1005709 0.0094048 0.9946351
1520437842.270997 0.4289629 0.0331331 0.1735150 0.0173788 0.1490962 0.0098548 0.9886208
1520437842.771229 0.5260843 0.0285670 0.2697823 0.0247134 0.2480267 -0.0173718 0.9682821
1520437842.921233 0.5549529 0.0248647 0.3024085 0.0383334 0.2608654 -0.0256690 0.9642722
1520437843.071238 0.5797505 0.0310963 0.3395469 0.0343465 0.2663827 -0.0189718 0.9630684
1520437843.221345 0.6099476 0.0365924 0.3803695 0.0392851 0.2536513 -0.0147117 0.9663857
1520437843.371349 0.6367308 0.0317006 0.4253924 0.0400371 0.2392099 -0.0188342 0.9699592
1520437843.521794 0.6588973 0.0268651 0.4712509 0.0365892 0.2049937 -0.0302952 0.9776099
1520437843.671799 0.6819919 0.0293426 0.5207684 0.0470427 0.1879367 -0.0350097 0.9804291
1520437843.771802 0.6970469 0.0307986 0.5541108 0.0525474 0.1899576 -0.0313773 0.9798828
1520437843.871805 0.7110090 0.0295499 0.5871748 0.0520546 0.1968774 -0.0256824 0.9787083
1520437843.972353 0.7233317 0.0249757 0.6203679 0.0570426 0.1925304 -0.0300269 0.9791713
1520437844.072356 0.7342780 0.0229749 0.6526479 0.0555490 0.1838625 -0.0236760 0.9810955
1520437844.172359 0.7464159 0.0236028 0.6862260 0.0571054 0.1708966 -0.0187569 0.9834539
1520437844.272363 0.7563749 0.0279424 0.7228802 0.0667952 0.1528765 -0.0227684 0.9857225
1520437844.672632 0.7828509 0.0100356 0.8542821 0.0504630 0.0248646 -0.0220774 0.9981722
1520437844.772685 0.7794997 0.0139078 0.8898403 0.0602950 -0.0053167 -0.0261717 0.9978233
1520437844.872689 0.7754777 0.0194085 0.9257173 0.0609217 -0.0282097 -0.0301742 0.9972875
1520437845.072695 0.7552965 0.0188182 0.9921914 0.0571747 -0.0766810 -0.0303711 0.9949516
1520437845.173309 0.7432400 0.0142869 1.0185440 0.0573435 -0.1151727 -0.0230435 0.9914212
