#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.519947 -0.0005428 -0.0012585 0.0694609 -0.0002260 -0.0005594 0.0000803 0.9999998
0.622091 -0.0006382 -0.0020223 0.1385377 -0.0003744 -0.0014014 0.0003635 0.9999989
0.725703 -0.0025868 -0.0030295 0.2077352 -0.0000111 -0.0012896 0.0012043 0.9999985
0.829465 -0.0036367 -0.0039631 0.2756374 -0.0002380 -0.0016706 0.0018027 0.9999970
0.933038 -0.0041968 -0.0054659 0.3425157 -0.0005462 -0.0020506 0.0016106 0.9999964
1.036778 -0.0058718 -0.0069036 0.4085237 -0.0006989 -0.0017544 0.0012814 0.9999974
1.140398 -0.0066856 -0.0078584 0.4755580 -0.0009380 -0.0021889 0.0001769 0.9999971
1.244137 -0.0079954 -0.0089833 0.5453071 -0.0014121 -0.0020512 0.0000734 0.9999969
1.347751 -0.0097737 -0.0102472 0.6096123 -0.0018276 -0.0017255 -0.0012783 0.9999960
1.451492 -0.0109021 -0.0108633 0.6702837 -0.0016416 -0.0018418 -0.0015542 0.9999958
1.555107 -0.0110275 -0.0113057 0.7400344 -0.0017077 -0.0027039 -0.0015250 0.9999937
1.658847 -0.0122810 -0.0116767 0.8081532 -0.0018539 -0.0028952 -0.0022014 0.9999917
1.762586 -0.0124688 -0.0121013 0.8685299 -0.0023739 -0.0035851 -0.0023706 0.9999880
1.866202 -0.0128781 -0.0135198 0.9368864 -0.0021703 -0.0041650 -0.0025735 0.9999856
1.969964 -0.0140930 -0.0141035 1.0011164 -0.0011064 -0.0039630 -0.0033486 0.9999859
2.073559 -0.0136292 -0.0146014 1.0435500 -0.0008459 -0.0043373 -0.0016130 0.9999889
2.177298 -0.0154567 -0.0143647 1.1047093 -0.0020070 -0.0038416 -0.0021943 0.9999882
2.281050 -0.0162977 -0.0152605 1.1652733 -0.0026591 -0.0038920 -0.0007619 0.9999886
2.384674 -0.0167394 -0.0156853 1.2324264 -0.0023809 -0.0043467 -0.0003307 0.9999877
2.488425 -0.0174755 -0.0166790 1.2902060 -0.0016275 -0.0039979 -0.0007158 0.9999904
2.592012 -0.0186510 -0.0176850 1.3516238 -0.0012916 -0.0036065 -0.0010587 0.9999921
2.695755 -0.0195142 -0.0184022 1.4123349 -0.0007924 -0.0030398 -0.0016784 0.9999936
2.799368 -0.0195777 -0.0194888 1.4746655 -0.0013219 -0.0026136 -0.0017736 0.9999942
2.903108 -0.0210397 -0.0204364 1.5325764 -0.0024254 -0.0013550 -0.0019564 0.9999942
3.006750 -0.0213634 -0.0209139 1.5880761 -0.0026652 -0.0003430 -0.0023052 0.9999937
3.110482 -0.0215567 -0.0216738 1.6464757 -0.0029252 0.0008922 -0.0023947 0.9999924
3.214204 -0.0214595 -0.0225988 1.7007011 -0.0028160 0.0025554 -0.0023355 0.9999900
3.317943 -0.0213538 -0.0233789 1.7550274 -0.0019871 0.0043807 -0.0021879 0.9999861
3.421685 -0.0211714 -0.0240301 1.8071029 -0.0010385 0.0063847 -0.0022194 0.9999766
3.525427 -0.0207329 -0.0249986 1.8634961 -0.0013829 0.0082950 -0.0023940 0.9999618
3.629166 -0.0195385 -0.0254561 1.9152921 -0.0012108 0.0109029 -0.0024422 0.9999368
3.732909 -0.0189566 -0.0264384 1.9659122 -0.0006895 0.0142322 -0.0035024 0.9998924
3.836660 -0.0179440 -0.0271381 2.0181406 -0.0007961 0.0178811 -0.0040176 0.9998317
3.940409 -0.0160060 -0.0280093 2.0708294 -0.0012977 0.0221075 -0.0046012 0.9997442
4.044264 -0.0141212 -0.0287541 2.1184964 -0.0016837 0.0275362 -0.0056824 0.9996032
4.148122 -0.0109985 -0.0293974 2.1665108 -0.0016039 0.0340075 -0.0067959 0.9993972
4.251862 -0.0071493 -0.0300181 2.2165804 -0.0019499 0.0412894 -0.0077213 0.9991155
4.355725 -0.0030628 -0.0301813 2.2670741 -0.0023179 0.0494673 -0.0093252 0.9987295
4.459611 0.0021906 -0.0311587 2.3174253 -0.0030163 0.0584275 -0.0095241 0.9982417
4.563456 0.0079674 -0.0316415 2.3656766 -0.0025665 0.0680732 -0.0095004 0.9976318
4.667325 0.0149541 -0.0321451 2.4143081 -0.0022026 0.0783544 -0.0086188 0.9968859
4.771058 0.0229260 -0.0325445 2.4605045 -0.0018578 0.0888635 -0.0072730 0.9960155
4.874947 0.0321018 -0.0327017 2.5089231 -0.0023296 0.1001673 -0.0047728 0.9949564
4.978668 0.0423949 -0.0331216 2.5558238 -0.0027205 0.1120508 -0.0023026 0.9936961
5.082534 0.0539467 -0.0339465 2.6003475 -0.0021371 0.1241686 0.0004604 0.9922587
5.186400 0.0671175 -0.0347341 2.6462197 -0.0007432 0.1369144 0.0036145 0.9905760
5.290138 0.0813352 -0.0352958 2.6896145 -0.0006659 0.1502222 0.0055541 0.9886364
5.394003 0.0953242 -0.0359614 2.7321162 -0.0015657 0.1644540 0.0066972 0.9863608
5.497872 0.1109549 -0.0363182 2.7738869 -0.0023478 0.1788857 0.0087489 0.9838282
5.601734 0.1274984 -0.0367340 2.8137760 -0.0015964 0.1936666 0.0104314 0.9810107
5.705475 0.1446974 -0.0374644 2.8501451 0.0002588 0.2085296 0.0104183 0.9779605
5.809345 0.1629802 -0.0379093 2.8872519 0.0033625 0.2238369 0.0117898 0.9745495
5.913083 0.1830192 -0.0385088 2.9240248 0.0049920 0.2392198 0.0128997 0.9708669
6.016968 0.2041812 -0.0389991 2.9601731 0.0037929 0.2551493 0.0132191 0.9668038
6.120823 0.2248775 -0.0395969 2.9942734 0.0007105 0.2722864 0.0119189 0.9621422
6.224565 0.2472136 -0.0399012 3.0275724 -0.0010405 0.2899982 0.0112812 0.9569601
6.328440 0.2710537 -0.0400402 3.0609689 0.0011107 0.3080148 0.0088550 0.9513397
6.432181 0.2951601 -0.0405189 3.0918775 0.0040421 0.3256735 0.0064053 0.9454520
6.535919 0.3206905 -0.0406273 3.1219554 0.0051862 0.3425578 0.0054257 0.9394668
6.639619 0.3472495 -0.0412038 3.1502447 0.0039955 0.3591998 0.0064021 0.9332302
6.743256 0.3745755 -0.0420964 3.1779323 0.0038907 0.3760740 0.0067542 0.9265568
6.847019 0.4036438 -0.0428948 3.2053828 0.0054725 0.3924921 0.0065753 0.9197156
6.950676 0.4336027 -0.0436129 3.2320318 0.0067751 0.4089854 0.0060486 0.9124957
7.054434 0.4636626 -0.0439645 3.2574935 0.0071415 0.4253320 0.0049366 0.9049957
7.158126 0.4949589 -0.0450507 3.2813361 0.0077120 0.4415153 0.0048997 0.8972072
7.261837 0.5276437 -0.0461429 3.3048539 0.0101323 0.4575487 0.0025960 0.8891230
7.365577 0.5612814 -0.0470457 3.3275676 0.0142752 0.4738401 -0.0004234 0.8804951
7.469315 0.5963662 -0.0482371 3.3485975 0.0177273 0.4897607 -0.0030216 0.8716714
7.572928 0.6316692 -0.0496888 3.3689370 0.0185164 0.5057980 -0.0050366 0.8624385
7.676672 0.6689365 -0.0514600 3.3882747 0.0168612 0.5216046 -0.0054484 0.8530033
7.780431 0.7080001 -0.0530625 3.4063921 0.0139209 0.5370585 -0.0062540 0.8434069
7.884150 0.7477664 -0.0540879 3.4225302 0.0124186 0.5523665 -0.0082239 0.8334683
7.987818 0.7874924 -0.0559203 3.4375632 0.0103239 0.5677522 -0.0109616 0.8230618
8.091556 0.8275301 -0.0573885 3.4512100 0.0088699 0.5833152 -0.0129319 0.8120945
8.195302 0.8680421 -0.0589574 3.4637697 0.0072865 0.5986362 -0.0138153 0.8008687
8.299053 0.9093671 -0.0609867 3.4751363 0.0066487 0.6136317 -0.0137469 0.7894447
8.402730 0.9518573 -0.0621910 3.4837453 0.0068948 0.6279415 -0.0133015 0.7781163
8.506356 0.9949229 -0.0635488 3.4914842 0.0071948 0.6419152 -0.0122925 0.7666433
8.610085 1.0392337 -0.0653700 3.4969046 0.0098726 0.6550098 -0.0092610 0.7554991
8.713700 1.0822561 -0.0669558 3.5016260 0.0119326 0.6678921 -0.0098007 0.7440979
8.817441 1.1269314 -0.0683471 3.5046909 0.0141147 0.6799514 -0.0113635 0.7330333
8.921074 1.1710089 -0.0705092 3.5069156 0.0176039 0.6907888 -0.0106046 0.7227644
9.024545 1.2160436 -0.0721619 3.5079308 0.0175338 0.7000901 -0.0094873 0.7137762
