#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.104128 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
0.208254 -0.0002473 -0.0011227 0.0525237 -0.0001169 -0.0002821 0.0005471 0.9999998
0.312504 -0.0006355 -0.0020173 0.1050341 0.0003259 -0.0002390 0.0012564 0.9999991
0.416625 -0.0010203 -0.0030974 0.1574339 0.0002108 -0.0001521 0.0013733 0.9999990
0.520755 -0.0010945 -0.0039270 0.2107704 -0.0001629 -0.0002121 0.0016576 0.9999986
0.625004 -0.0012396 -0.0046730 0.2637045 -0.0006367 -0.0002146 0.0024286 0.9999968
0.729128 -0.0014372 -0.0054359 0.3176136 -0.0007441 -0.0003684 0.0020779 0.9999975
0.833252 -0.0016613 -0.0061941 0.3714665 0.0001465 -0.0006386 0.0017688 0.9999982
0.937506 -0.0021423 -0.0072545 0.4246581 0.0011460 -0.0006446 0.0004947 0.9999990
1.041630 -0.0025150 -0.0082366 0.4784181 0.0015694 -0.0006607 -0.0011798 0.9999979
1.145875 -0.0025185 -0.0090914 0.5328411 0.0017531 -0.0009411 -0.0022097 0.9999956
1.250003 -0.0032852 -0.0099164 0.5867206 0.0015643 -0.0007540 -0.0031222 0.9999936
1.354255 -0.0033585 -0.0109052 0.6405002 0.0001744 -0.0006405 -0.0019850 0.9999978
1.458401 -0.0037146 -0.0121146 0.6944860 -0.0009591 -0.0004040 0.0001407 0.9999995
1.562526 -0.0034127 -0.0129832 0.7483132 0.0001718 -0.0008947 0.0014658 0.9999985
1.666754 -0.0037640 -0.0137461 0.8020633 0.0013109 -0.0007861 0.0016362 0.9999975
1.771007 -0.0041050 -0.0146524 0.8563187 0.0023334 -0.0005676 0.0006174 0.9999969
1.875129 -0.0044521 -0.0156370 0.9109216 0.0012538 -0.0003198 -0.0008259 0.9999988
1.979377 -0.0049404 -0.0165141 0.9660789 -0.0004428 0.0001199 -0.0011298 0.9999993
2.083502 -0.0052611 -0.0172333 1.0207368 -0.0014530 0.0002891 -0.0001060 0.9999989
2.187759 -0.0056363 -0.0178308 1.0751045 -0.0003610 0.0000725 0.0019722 0.9999980
2.291881 -0.0062303 -0.0189091 1.1297066 0.0005941 0.0003255 0.0021693 0.9999974
2.396132 -0.0061004 -0.0194732 1.1850148 0.0023440 0.0003365 0.0022391 0.9999947
2.500257 -0.0063079 -0.0209188 1.2397465 0.0025605 0.0006061 0.0007335 0.9999962
2.604383 -0.0064783 -0.0220795 1.2944292 0.0035864 0.0007142 0.0005376 0.9999931
