#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1403715894.534058 -0.4438234 -0.7270746 -0.5238160 0.0094022 0.0097354 -0.0131331 0.9998221
1403715894.734058 -0.0378641 -0.0049605 -0.0030584 -0.0012327 0.0007878 0.0098773 0.9999502
1403715894.784058 -0.0440443 -0.0078019 -0.0032500 0.0016452 -0.0023058 0.0145772 0.9998897
1403715894.834058 -0.0527334 -0.0080946 -0.0006767 0.0073078 -0.0036768 0.0181636 0.9998016
1403715894.884058 -0.0552174 -0.0097427 0.0002475 0.0128176 -0.0075351 0.0209728 0.9996695
1403715894.934058 -0.0636964 -0.0135103 -0.0002363 0.0174770 -0.0085153 0.0218641 0.9995719
1403715894.984058 -0.0718381 -0.0190765 -0.0010294 0.0203095 -0.0100067 0.0228295 0.9994830
1403715895.034058 -0.0790307 -0.0236018 -0.0025548 0.0229239 -0.0116302 0.0237894 0.9993864
1403715895.084058 -0.0888571 -0.0240002 -0.0017260 0.0264267 -0.0113415 0.0236668 0.9993062
1403715895.134058 -0.1013851 -0.0322747 -0.0036660 0.0258641 -0.0114803 0.0246896 0.9992946
1403715895.184058 -0.1098499 -0.0369737 -0.0050006 0.0267176 -0.0128753 0.0257774 0.9992276
1403715895.234058 -0.1249045 -0.0473334 -0.0084212 0.0246755 -0.0121992 0.0271094 0.9992534
1403715895.284058 -0.1407480 -0.0606202 -0.0132024 0.0221377 -0.0104734 0.0270285 0.9993346
1403715895.334058 -0.1501410 -0.0681855 -0.0149848 0.0212671 -0.0111593 0.0278672 0.9993231
1403715895.384058 -0.1707010 -0.0839150 -0.0200734 0.0180569 -0.0080880 0.0274625 0.9994270
1403715895.434058 -0.1173883 -0.0814050 -0.0670867 0.0252131 -0.0333796 0.0349156 0.9985144
1403715895.484058 -0.1879511 -0.0953562 -0.0268296 0.0180291 -0.0101854 0.0295112 0.9993500
1403715895.534058 -0.2000342 -0.1040785 -0.0254103 0.0159778 -0.0098270 0.0282068 0.9994261
1403715895.584058 -0.2126396 -0.1095727 -0.0285010 0.0153647 -0.0090618 0.0293081 0.9994112
1403715895.634058 -0.2251866 -0.1161169 -0.0300248 0.0154435 -0.0076550 0.0283727 0.9994488
1403715895.684058 -0.2362911 -0.1233967 -0.0332573 0.0146905 -0.0077306 0.0290481 0.9994401
1403715895.734058 -0.2468219 -0.1288152 -0.0357091 0.0147326 -0.0083192 0.0298119 0.9994123
1403715895.784058 -0.2595884 -0.1355935 -0.0374108 0.0137908 -0.0073997 0.0299729 0.9994282
1403715895.834058 -0.2712806 -0.1418565 -0.0387141 0.0137132 -0.0072362 0.0299395 0.9994314
1403715895.884058 -0.2829323 -0.1491158 -0.0401802 0.0126661 -0.0065164 0.0296435 0.9994590
1403715895.934058 -0.2978487 -0.1540483 -0.0420984 0.0136267 -0.0053058 0.0300890 0.9994403
1403715895.984058 -0.3072056 -0.1624962 -0.0447565 0.0118597 -0.0066628 0.0321592 0.9993902
1403715896.034058 -0.3182214 -0.1650693 -0.0456048 0.0128218 -0.0071908 0.0337627 0.9993218
1403715896.084058 -0.3295261 -0.1691800 -0.0466836 0.0128145 -0.0082603 0.0367736 0.9992073
1403715896.134058 -0.3409376 -0.1799709 -0.0493809 0.0093961 -0.0092820 0.0412091 0.9990633
1403715896.184058 -0.3521454 -0.1811235 -0.0511632 0.0118123 -0.0107748 0.0459358 0.9988164
1403715896.234058 -0.3622210 -0.1844542 -0.0525797 0.0129658 -0.0136415 0.0539255 0.9983676
1403715896.284058 -0.3728627 -0.1882249 -0.0543766 0.0161080 -0.0161269 0.0622936 0.9977975
1403715896.334058 -0.3834719 -0.1949119 -0.0559370 0.0177022 -0.0188904 0.0721147 0.9970603
1403715896.384058 -0.3886156 -0.2077380 -0.0572363 0.0153157 -0.0235105 0.0811273 0.9963087
1403715896.434058 -0.3964821 -0.2164748 -0.0591057 0.0158087 -0.0250421 0.0877645 0.9957010
1403715896.484058 -0.4017726 -0.2228140 -0.0612070 0.0163525 -0.0272520 0.0943567 0.9950310
1403715896.534058 -0.4058400 -0.2338873 -0.0639592 0.0161013 -0.0287191 0.0986699 0.9945754
1403715896.584058 -0.4081976 -0.2381182 -0.0653836 0.0189502 -0.0296546 0.1036852 0.9939874
1403715896.634058 -0.4067830 -0.2394646 -0.0687087 0.0233893 -0.0312670 0.1058684 0.9936132
1403715896.684058 -0.4045999 -0.2455040 -0.0707232 0.0244526 -0.0316432 0.1077953 0.9933685
1403715896.734058 -0.4011490 -0.2483214 -0.0734486 0.0255454 -0.0331217 0.1099658 0.9930548
1403715896.784058 -0.3966823 -0.2520346 -0.0781840 0.0231334 -0.0343915 0.1118829 0.9928566
1403715896.834058 -0.3859763 -0.2552447 -0.0825345 0.0193164 -0.0380560 0.1146805 0.9924853
1403715896.884058 -0.3835622 -0.2591250 -0.0850500 0.0158251 -0.0367417 0.1180694 0.9921992
1403715896.934058 -0.3689836 -0.2615235 -0.0901927 0.0124374 -0.0412053 0.1237168 0.9913837
1403715896.984058 -0.3552060 -0.2600019 -0.0941831 0.0107074 -0.0446561 0.1306911 0.9903591
1403715897.034058 -0.3440941 -0.2621958 -0.0981031 0.0081731 -0.0464700 0.1376527 0.9893561
1403715897.084058 -0.3255794 -0.2587372 -0.1028902 0.0084395 -0.0494729 0.1430204 0.9884464
1403715897.134058 -0.3054683 -0.2636203 -0.1062877 0.0065766 -0.0501918 0.1451602 0.9881124
1403715897.184058 -0.2832090 -0.2672741 -0.1099351 0.0057556 -0.0494426 0.1444082 0.9882655
1403715897.234058 -0.2525991 -0.2711403 -0.1137993 0.0031008 -0.0491546 0.1391095 0.9890515
1403715897.284058 -0.2255348 -0.2700312 -0.1182608 0.0033005 -0.0444648 0.1269693 0.9909040
1403715897.334058 -0.2005857 -0.2743522 -0.1197881 0.0004268 -0.0369800 0.1100464 0.9932382
1403715897.384058 -0.1671573 -0.2723100 -0.1224355 0.0002219 -0.0313616 0.0916183 0.9953002
1403715897.434058 -0.1309935 -0.2777867 -0.1248173 -0.0038262 -0.0276367 0.0773035 0.9966171
1403715897.484058 -0.1000354 -0.2738399 -0.1268340 -0.0019143 -0.0230849 0.0668254 0.9974958
1403715897.534058 -0.0696195 -0.2753587 -0.1282802 -0.0026107 -0.0193455 0.0591721 0.9980569
1403715897.584058 -0.0384820 -0.2718619 -0.1295508 -0.0012434 -0.0178920 0.0576804 0.9981740
1403715897.634058 -0.0026274 -0.2736875 -0.1317071 -0.0010660 -0.0199466 0.0614719 0.9979089
1403715897.684058 0.0270641 -0.2778032 -0.1328211 -0.0019756 -0.0195230 0.0647724 0.9977071
1403715897.734058 0.0603398 -0.2754461 -0.1346938 0.0003043 -0.0217977 0.0724737 0.9971321
1403715897.784058 0.0930411 -0.2800721 -0.1368394 0.0001185 -0.0227339 0.0780451 0.9966906
1403715897.834058 0.1287078 -0.2751502 -0.1373087 0.0042788 -0.0238182 0.0814961 0.9963799
1403715897.884058 0.1592345 -0.2769681 -0.1373956 0.0077589 -0.0223143 0.0828756 0.9962798
1403715897.934058 0.1938875 -0.2751954 -0.1383661 0.0118076 -0.0199821 0.0795036 0.9965643
1403715897.984058 0.2261488 -0.2773319 -0.1395486 0.0140525 -0.0172807 0.0774296 0.9967490
1403715898.034058 0.2736372 -0.2671507 -0.1427760 0.0237800 -0.0178574 0.0725003 0.9969249
1403715898.084058 0.3049193 -0.2634412 -0.1445277 0.0324507 -0.0122148 0.0682150 0.9970679
1403715898.134058 0.3452871 -0.2570597 -0.1453235 0.0421172 -0.0081721 0.0630365 0.9970886
