#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1311870434.631527 0.0167127 0.0017839 0.0052481 -0.0172883 0.0046353 -0.0056476 0.9998239
1311870434.663662 0.0190714 0.0011909 0.0055285 -0.0194570 0.0056820 -0.0074593 0.9997667
1311870434.699666 0.0189937 0.0016815 0.0091154 -0.0205559 0.0073512 -0.0092128 0.9997192
1311870434.731536 0.0205306 0.0023920 0.0114332 -0.0216435 0.0084821 -0.0112211 0.9996668
1311870434.767663 0.0211177 0.0034722 0.0120502 -0.0239988 0.0092077 -0.0128733 0.9995867
1311870434.799566 0.0226061 0.0050716 0.0115278 -0.0278916 0.0088158 -0.0135018 0.9994809
1311870434.831779 0.0243039 0.0049051 0.0103081 -0.0343841 0.0080234 -0.0146632 0.9992689
1311870434.867798 0.0251319 0.0062182 0.0102938 -0.0404114 0.0073701 -0.0152147 0.9990401
1311870434.899553 0.0265329 0.0073638 0.0095502 -0.0477994 0.0060203 -0.0160967 0.9987091
1311870434.931645 0.0277328 0.0082471 0.0107196 -0.0551695 0.0029831 -0.0165590 0.9983352
1311870434.967535 0.0286641 0.0086605 0.0093849 -0.0623440 -0.0007974 -0.0174127 0.9979025
1311870434.999589 0.0310568 0.0082901 0.0081839 -0.0691345 -0.0054453 -0.0191947 0.9974078
1311870435.031785 0.0317205 0.0088526 0.0083932 -0.0741068 -0.0077176 -0.0207839 0.9970039
1311870435.067626 0.0329481 0.0088599 0.0093053 -0.0784125 -0.0097359 -0.0225682 0.9966180
1311870435.099699 0.0346994 0.0086889 0.0101430 -0.0823583 -0.0117348 -0.0242004 0.9962398
1311870435.131763 0.0361657 0.0104383 0.0111083 -0.0861040 -0.0127244 -0.0245959 0.9959012
1311870435.167540 0.0368498 0.0102527 0.0133575 -0.0905096 -0.0131400 -0.0266255 0.9954529
1311870435.199566 0.0389120 0.0115560 0.0158365 -0.0935302 -0.0133762 -0.0281254 0.9951292
1311870435.231679 0.0400724 0.0118063 0.0164637 -0.0977096 -0.0135707 -0.0291831 0.9946944
1311870435.267867 0.0418064 0.0137609 0.0175772 -0.1015903 -0.0154525 -0.0301224 0.9942501
1311870435.299742 0.0439351 0.0137182 0.0179345 -0.1062969 -0.0173384 -0.0325595 0.9936500
1311870435.331634 0.0455735 0.0130221 0.0188213 -0.1096634 -0.0167462 -0.0357605 0.9931841
1311870435.367691 0.0484447 0.0125434 0.0207027 -0.1118687 -0.0146261 -0.0401426 0.9928041
1311870435.399734 0.0505997 0.0131456 0.0244027 -0.1131162 -0.0129363 -0.0443478 0.9925073
1311870435.431784 0.0524022 0.0154030 0.0275922 -0.1135595 -0.0111617 -0.0467414 0.9923683
1311870435.467618 0.0546522 0.0163614 0.0296750 -0.1147469 -0.0108920 -0.0486357 0.9921437
1311870435.499650 0.0567292 0.0165162 0.0313131 -0.1172848 -0.0112994 -0.0493172 0.9918087
1311870435.531794 0.0588698 0.0156210 0.0317936 -0.1198545 -0.0117021 -0.0500441 0.9914603
1311870435.567656 0.0612552 0.0153419 0.0325393 -0.1220752 -0.0122992 -0.0501907 0.9911747
1311870435.599673 0.0659538 0.0150985 0.0350565 -0.1231642 -0.0128601 -0.0507796 0.9910029
1311870435.631832 0.0677706 0.0175996 0.0406926 -0.1225251 -0.0106950 -0.0519158 0.9910489
1311870435.667902 0.0688090 0.0169353 0.0444220 -0.1241183 -0.0085647 -0.0532676 0.9907996
1311870435.699715 0.0727852 0.0177175 0.0462545 -0.1251485 -0.0083745 -0.0524345 0.9907161
1311870435.731639 0.0766492 0.0183888 0.0462745 -0.1265499 -0.0092356 -0.0525540 0.9905241
1311870435.767597 0.0796034 0.0172121 0.0484984 -0.1289571 -0.0091586 -0.0525882 0.9902124
1311870435.799955 0.0950159 0.0233235 0.0623113 -0.1286356 -0.0094163 -0.0531530 0.9902217
1311870435.831633 0.0977549 0.0223954 0.0633984 -0.1298443 -0.0102476 -0.0539701 0.9900115
1311870435.867717 0.1292372 0.0315553 0.0828641 -0.1284388 -0.0145853 -0.0542274 0.9901263
1311870435.899972 0.1324139 0.0311786 0.0853335 -0.1291628 -0.0152358 -0.0538252 0.9900443
1311870435.931792 0.1368376 0.0314084 0.0889687 -0.1293153 -0.0156373 -0.0530169 0.9900618
1311870435.967666 0.1426163 0.0305160 0.0945140 -0.1299597 -0.0172359 -0.0527015 0.9899676
1311870435.999894 0.1399963 0.0303394 0.0962911 -0.1308513 -0.0159245 -0.0534514 0.9898319
1311870436.031755 0.1386647 0.0313566 0.0986413 -0.1309556 -0.0145316 -0.0536979 0.9898263
1311870436.067746 0.1383314 0.0315632 0.0992777 -0.1315208 -0.0130750 -0.0545368 0.9897258
