#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1311870434.199633 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1311870434.631527 0.0283169 0.0033454 0.0165657 -0.0173403 0.0038339 -0.0071716 0.9998166
1311870434.767663 0.0389682 0.0062812 0.0253060 -0.0238487 0.0076334 -0.0141993 0.9995856
1311870435.299742 0.0771244 0.0296987 0.0568435 -0.1044757 -0.0192037 -0.0347651 0.9937341
1311870435.867717 0.1315612 0.0287645 0.0897184 -0.1297495 -0.0145287 -0.0531993 0.9900120
1311870436.499724 0.1681392 0.0061333 0.1293698 -0.1221794 -0.0164168 -0.0478988 0.9912156
1311870436.531686 0.1684648 0.0039586 0.1314795 -0.1190135 -0.0171538 -0.0475903 0.9916031
1311870439.399807 0.5553160 -0.1205304 0.2569594 -0.0570463 -0.1616321 -0.0801528 0.9819350
1311870440.800074 0.6877477 -0.1523452 0.3935482 -0.0742641 -0.2640395 -0.1413950 0.9511968
1311870440.999991 0.7228484 -0.1541929 0.4098232 -0.0858233 -0.2754314 -0.1686914 0.9425047
1311870441.932347 0.8408446 -0.1328232 0.4830385 -0.1447286 -0.2693125 -0.1884016 0.9332895
1311870442.332140 0.8360935 -0.1661226 0.5018048 -0.1230742 -0.2762215 -0.1765869 0.9366811
1311870442.635674 0.8249834 -0.1974973 0.5277538 -0.1052916 -0.2898252 -0.1600615 0.9377075
1311870443.968820 0.8547392 -0.2635560 0.6173855 -0.0748751 -0.3537501 -0.1777478 0.9152378
1311870444.368372 0.9331671 -0.2766961 0.6548800 -0.0815592 -0.3978219 -0.2076630 0.8899224
1311870444.900329 1.0078692 -0.2429335 0.7106037 -0.1226158 -0.4047598 -0.2306855 0.8763099
1311870445.100300 1.0245513 -0.2403698 0.7310544 -0.1350077 -0.4014448 -0.2305153 0.8760580
1311870445.368329 1.0482476 -0.2409360 0.7728020 -0.1440028 -0.4221596 -0.2405585 0.8620766
1311870446.668422 1.1012642 -0.2971874 0.9429868 -0.1431421 -0.4912139 -0.2783066 0.8128743
