#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1225719855.663249 0.0019262 -0.0157368 0.0482915 -0.0011062 -0.0061468 0.0082691 0.9999463
1225719855.713249 0.0018873 -0.0172320 0.0526132 -0.0011250 -0.0052793 0.0086951 0.9999476
1225719855.763248 0.0020038 -0.0183485 0.0572053 -0.0009196 -0.0046704 0.0087802 0.9999501
1225719855.813242 0.0020202 -0.0198841 0.0619303 -0.0017925 -0.0040151 0.0091512 0.9999484
1225719855.863242 0.0020595 -0.0211413 0.0666122 -0.0027400 -0.0031482 0.0092997 0.9999480
1225719855.913242 0.0019763 -0.0226433 0.0722716 -0.0033646 -0.0021624 0.0092629 0.9999491
1225719855.963242 0.0021777 -0.0240800 0.0768914 -0.0032556 -0.0018376 0.0100342 0.9999427
1225719856.013233 0.0023647 -0.0257206 0.0819551 -0.0031223 -0.0022506 0.0101700 0.9999409
1225719856.063233 0.0025235 -0.0268993 0.0862892 -0.0023853 -0.0026522 0.0108222 0.9999351
1225719856.113233 0.0027243 -0.0282797 0.0912212 -0.0016199 -0.0031518 0.0113895 0.9999288
1225719856.163227 0.0029985 -0.0296240 0.0955773 -0.0007089 -0.0036505 0.0117294 0.9999243
1225719856.213227 0.0030775 -0.0314430 0.1008086 -0.0003326 -0.0035571 0.0124660 0.9999159
1225719856.263225 0.0030737 -0.0327847 0.1060626 0.0002196 -0.0028103 0.0125797 0.9999169
1225719856.313226 0.0028779 -0.0342193 0.1111954 0.0006584 -0.0016190 0.0123552 0.9999222
1225719856.363219 0.0030087 -0.0352544 0.1153817 0.0016851 -0.0009001 0.0123056 0.9999225
1225719856.413219 0.0028478 -0.0366693 0.1203809 0.0026085 -0.0002011 0.0118775 0.9999260
1225719856.463217 0.0031082 -0.0387337 0.1256865 0.0029179 0.0001544 0.0122827 0.9999203
1225719856.513218 0.0030336 -0.0403002 0.1301839 0.0031412 0.0015912 0.0121008 0.9999206
1225719856.563210 0.0028196 -0.0417868 0.1347175 0.0036413 0.0034076 0.0114199 0.9999223
1225719856.613211 0.0025784 -0.0423730 0.1370470 0.0046198 0.0050111 0.0102085 0.9999247
1225719856.663210 0.0021425 -0.0440763 0.1419920 0.0061564 0.0068073 0.0088027 0.9999191
1225719856.713211 0.0020745 -0.0453236 0.1466256 0.0078443 0.0067530 0.0079031 0.9999152
1225719856.763204 0.0019763 -0.0469529 0.1515757 0.0087208 0.0055035 0.0070921 0.9999217
1225719856.813204 0.0020250 -0.0487618 0.1561961 0.0093597 0.0030964 0.0073503 0.9999244
1225719856.863203 0.0024782 -0.0495664 0.1595628 0.0104043 0.0004877 0.0078377 0.9999151
1225719856.913195 0.0026601 -0.0512910 0.1643459 0.0110299 -0.0010067 0.0083105 0.9999042
1225719856.963195 0.0026944 -0.0529065 0.1694793 0.0122573 -0.0012339 0.0084893 0.9998881
1225719857.013194 0.0024772 -0.0542097 0.1733948 0.0140139 -0.0005616 0.0080361 0.9998693
1225719857.063195 0.0021490 -0.0557870 0.1777526 0.0160965 -0.0000689 0.0068707 0.9998468
1225719857.113189 0.0019355 -0.0572609 0.1819337 0.0176738 0.0001687 0.0060530 0.9998255
1225719857.163188 0.0019641 -0.0589278 0.1872128 0.0182596 0.0005099 0.0055668 0.9998177
1225719857.213188 0.0019319 -0.0607740 0.1923260 0.0177693 0.0010681 0.0055923 0.9998259
1225719857.263188 0.0019531 -0.0621168 0.1970782 0.0175324 0.0013829 0.0055052 0.9998302
1225719857.313196 0.0016722 -0.0638860 0.2020071 0.0172483 0.0014970 0.0051002 0.9998371
1225719857.363181 0.0017312 -0.0653266 0.2070142 0.0173843 0.0009499 0.0048255 0.9998368
1225719857.413180 0.0016462 -0.0667848 0.2120125 0.0174828 0.0002834 0.0041900 0.9998384
1225719857.463180 0.0016333 -0.0684109 0.2173500 0.0177381 0.0001048 0.0039767 0.9998348
1225719857.513173 0.0014798 -0.0699592 0.2223020 0.0184180 0.0003808 0.0033723 0.9998246
1225719857.563172 0.0013138 -0.0714303 0.2269879 0.0187056 -0.0003809 0.0030037 0.9998205
1225719857.613173 0.0014906 -0.0731946 0.2319379 0.0180241 -0.0022756 0.0028366 0.9998310
1225719857.663172 0.0014954 -0.0748075 0.2364050 0.0168208 -0.0031201 0.0034409 0.9998477
1225719857.713165 0.0017427 -0.0764607 0.2413346 0.0160401 -0.0031544 0.0041778 0.9998577
1225719857.763166 0.0017053 -0.0777845 0.2460331 0.0162643 -0.0027710 0.0041085 0.9998555
1225719857.813165 0.0013059 -0.0791937 0.2501943 0.0167044 -0.0019868 0.0031602 0.9998535
1225719857.863158 0.0011900 -0.0805800 0.2548457 0.0178300 -0.0021871 0.0025793 0.9998353
1225719857.913161 0.0012356 -0.0823672 0.2596736 0.0185168 -0.0035186 0.0027286 0.9998186
1225719857.963157 0.0013202 -0.0837249 0.2636338 0.0194190 -0.0053217 0.0029768 0.9997928
1225719858.013157 0.0016368 -0.0850587 0.2676657 0.0200924 -0.0067275 0.0040825 0.9997672
1225719858.063150 0.0018188 -0.0866096 0.2728021 0.0204083 -0.0072283 0.0053201 0.9997514
1225719858.113150 0.0016877 -0.0881070 0.2779283 0.0201763 -0.0064391 0.0055450 0.9997603
1225719858.163149 0.0014728 -0.0895239 0.2825578 0.0197260 -0.0048609 0.0050872 0.9997807
1225719858.213149 0.0011887 -0.0909603 0.2871758 0.0195271 -0.0030372 0.0037012 0.9997979
1225719858.263143 0.0005110 -0.0923508 0.2908193 0.0192612 -0.0010219 0.0014624 0.9998129
1225719858.313142 0.0003763 -0.0939446 0.2952713 0.0187078 -0.0000602 0.0001021 0.9998250
1225719858.363141 0.0000538 -0.0952738 0.2996525 0.0179582 0.0000597 -0.0008177 0.9998384
1225719858.413136 -0.0001276 -0.0967593 0.3047834 0.0171838 -0.0012872 -0.0009815 0.9998510
1225719858.463134 0.0002873 -0.0982963 0.3090697 0.0164514 -0.0041276 -0.0002117 0.9998561
1225719858.513134 0.0005212 -0.0998616 0.3138343 0.0158356 -0.0064051 0.0004632 0.9998540
1225719858.563134 0.0006766 -0.1011820 0.3182518 0.0157601 -0.0075256 0.0013684 0.9998465
1225719858.613127 0.0007327 -0.1025695 0.3227122 0.0157827 -0.0090291 0.0019368 0.9998328
1225719858.663127 0.0008525 -0.1038797 0.3268954 0.0158670 -0.0118542 0.0019100 0.9998020
1225719858.713128 0.0005325 -0.1055223 0.3324679 0.0154364 -0.0135418 0.0017419 0.9997876
1225719858.763128 0.0004643 -0.1069910 0.3372909 0.0137627 -0.0123210 0.0017718 0.9998278
1225719858.813119 0.0003933 -0.1085645 0.3413558 0.0107856 -0.0075907 0.0022694 0.9999105
1225719858.863120 -0.0000254 -0.1098573 0.3465494 0.0076906 -0.0015945 0.0012092 0.9999684
1225719858.913120 -0.0007082 -0.1110626 0.3510448 0.0058335 0.0021209 -0.0006566 0.9999805
1225719858.963113 -0.0013595 -0.1123814 0.3555577 0.0053126 0.0018479 -0.0027233 0.9999804
1225719859.013113 -0.0014283 -0.1138040 0.3598056 0.0044174 -0.0013050 -0.0030824 0.9999846
1225719859.063112 -0.0010534 -0.1150286 0.3644951 0.0034540 -0.0053894 -0.0020093 0.9999775
1225719859.113112 -0.0004582 -0.1168348 0.3691412 0.0022330 -0.0087095 0.0003285 0.9999595
1225719859.163106 0.0001759 -0.1182666 0.3736106 0.0016007 -0.0104264 0.0025147 0.9999412
1225719859.213108 0.0004030 -0.1197364 0.3781179 0.0002667 -0.0096156 0.0033615 0.9999481
1225719859.263103 0.0001880 -0.1213097 0.3830156 -0.0017646 -0.0066401 0.0034091 0.9999706
1225719859.313104 -0.0002531 -0.1227482 0.3872929 -0.0034266 -0.0036070 0.0020562 0.9999855
1225719859.363096 -0.0006612 -0.1243194 0.3915852 -0.0038124 -0.0031223 0.0005751 0.9999877
1225719859.413097 -0.0009395 -0.1255408 0.3960739 -0.0032809 -0.0052466 -0.0004473 0.9999807
1225719859.463097 -0.0007531 -0.1269373 0.4004992 -0.0030491 -0.0085570 0.0001370 0.9999587
1225719859.513096 -0.0003535 -0.1285527 0.4049737 -0.0031337 -0.0100288 0.0013904 0.9999439
1225719859.563090 -0.0000594 -0.1301560 0.4097092 -0.0034252 -0.0077094 0.0031991 0.9999593
1225719859.613090 -0.0002984 -0.1316443 0.4147203 -0.0043085 -0.0023848 0.0031203 0.9999830
1225719859.663089 -0.0008578 -0.1334119 0.4194867 -0.0056515 0.0025757 0.0013248 0.9999799
1225719859.713082 -0.0015810 -0.1349450 0.4246097 -0.0060174 0.0054469 -0.0012963 0.9999662
1225719859.763082 -0.0022289 -0.1364498 0.4290832 -0.0060669 0.0051039 -0.0036422 0.9999619
1225719859.813081 -0.0023141 -0.1379846 0.4341904 -0.0061028 0.0012359 -0.0044037 0.9999709
1225719859.863081 -0.0020321 -0.1394155 0.4393572 -0.0056992 -0.0042558 -0.0033187 0.9999692
1225719859.913075 -0.0012014 -0.1406027 0.4435464 -0.0044422 -0.0085917 -0.0009867 0.9999527
1225719859.963076 -0.0006687 -0.1421184 0.4484869 -0.0035256 -0.0093246 0.0009815 0.9999498
1225719860.013083 -0.0007230 -0.1440752 0.4534498 -0.0041280 -0.0073606 0.0011291 0.9999638
1225719860.063075 -0.0015138 -0.1455176 0.4586087 -0.0046706 -0.0040642 -0.0005881 0.9999806
