#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1225719855.113271 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1225719855.663249 0.0016749 -0.0131251 0.0415290 -0.0008361 -0.0062683 0.0080733 0.9999474
1225719855.713249 0.0015982 -0.0145258 0.0451397 -0.0008197 -0.0053132 0.0081610 0.9999523
1225719856.063233 0.0020256 -0.0233226 0.0751373 -0.0022753 -0.0025103 0.0104652 0.9999395
1225719856.363219 0.0024755 -0.0316449 0.1030275 0.0015329 -0.0006292 0.0123279 0.9999226
1225719856.563210 0.0025110 -0.0379017 0.1220248 0.0037179 0.0035301 0.0114257 0.9999216
1225719856.763204 0.0016792 -0.0441988 0.1414463 0.0084224 0.0059838 0.0074046 0.9999192
1225719857.063195 0.0020491 -0.0538560 0.1714044 0.0160040 0.0000848 0.0069171 0.9998480
1225719857.213188 0.0018708 -0.0590320 0.1865142 0.0176667 0.0012578 0.0057234 0.9998267
1225719857.313196 0.0016000 -0.0622867 0.1965878 0.0171674 0.0016926 0.0050396 0.9998385
1225719857.613173 0.0012256 -0.0715129 0.2264415 0.0180133 -0.0020098 0.0028054 0.9998318
1225719857.713165 0.0015757 -0.0749158 0.2363492 0.0160298 -0.0029966 0.0040678 0.9998587
1225719857.813165 0.0014198 -0.0779362 0.2460705 0.0165978 -0.0021568 0.0031785 0.9998549
1225719858.313142 0.0002021 -0.0933208 0.2928844 0.0186160 0.0003098 -0.0002481 0.9998266
1225719858.413136 -0.0001740 -0.0961695 0.3020705 0.0170230 -0.0010554 -0.0014120 0.9998536
1225719858.713128 0.0007082 -0.1045586 0.3293369 0.0153600 -0.0138143 0.0017976 0.9997849
1225719858.813119 0.0004116 -0.1077291 0.3385383 0.0106859 -0.0076562 0.0020531 0.9999115
1225719859.113112 -0.0002452 -0.1161287 0.3658985 0.0020577 -0.0089366 0.0001669 0.9999579
1225719859.213108 0.0004425 -0.1190896 0.3750736 0.0000410 -0.0096823 0.0031534 0.9999481
1225719859.313104 -0.0002760 -0.1220661 0.3843577 -0.0034814 -0.0037013 0.0013619 0.9999862
1225719859.513096 -0.0002291 -0.1280368 0.4030821 -0.0032232 -0.0104221 0.0012770 0.9999397
1225719859.713082 -0.0016879 -0.1345612 0.4223527 -0.0062798 0.0054075 -0.0020270 0.9999636
1225719859.913075 -0.0010648 -0.1405264 0.4415067 -0.0049212 -0.0090133 -0.0015212 0.9999461
1225719860.063075 -0.0014398 -0.1453279 0.4569664 -0.0049372 -0.0044729 -0.0010573 0.9999772
1225719860.213065 -0.0026916 -0.1503102 0.4729644 -0.0071007 -0.0095497 -0.0052633 0.9999154
1225719860.363060 -0.0003651 -0.1556326 0.4892923 -0.0078934 -0.0226739 0.0042178 0.9997029
1225719860.513051 -0.0017430 -0.1610294 0.5058326 -0.0069570 -0.0081316 0.0029887 0.9999382
1225719860.663043 -0.0032925 -0.1665766 0.5224730 -0.0033309 -0.0077153 -0.0021682 0.9999623
1225719860.813043 -0.0013185 -0.1723238 0.5391653 -0.0008079 -0.0222165 0.0059361 0.9997352
1225719860.963035 -0.0032466 -0.1777977 0.5571323 0.0009111 -0.0060176 0.0015789 0.9999802
1225719861.113029 -0.0054978 -0.1836650 0.5745110 0.0021950 -0.0010614 -0.0058923 0.9999797
1225719861.263021 -0.0028206 -0.1896028 0.5921972 0.0067506 -0.0179787 0.0047946 0.9998041
1225719861.413013 -0.0024343 -0.1956379 0.6096919 0.0094154 -0.0109349 0.0084281 0.9998603
1225719861.563011 -0.0047957 -0.2013437 0.6279039 0.0125019 0.0046527 0.0015343 0.9999099
