#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1.633333 0.0332651 -0.0000144 -0.0008819 0.0039265 0.0745423 -0.0426884 0.9962960
1.666667 0.0341285 0.0000360 -0.0010498 0.0040968 0.0792687 -0.0448378 0.9958360
1.700000 0.0359720 -0.0000805 -0.0005393 0.0041967 0.0835323 -0.0464899 0.9954112
1.733333 0.0388317 -0.0015628 -0.0014833 0.0038118 0.0873637 -0.0481573 0.9950045
1.766667 0.0386452 -0.0005039 -0.0018582 0.0046929 0.0929672 -0.0500655 0.9943986
1.800000 0.0401004 -0.0001576 -0.0013665 0.0045058 0.0974021 -0.0514206 0.9939057
1.833333 0.0391892 -0.0015435 -0.0022803 0.0029386 0.1028950 -0.0533267 0.9932574
1.866667 0.0390766 -0.0020522 -0.0018884 0.0025471 0.1081439 -0.0555533 0.9925786
1.900000 0.0401004 -0.0032929 -0.0020668 0.0019687 0.1124245 -0.0579289 0.9919683
1.933333 0.0406962 -0.0036583 -0.0025095 0.0016747 0.1172430 -0.0606862 0.9912459
1.966667 0.0418177 -0.0022588 -0.0023531 0.0024900 0.1218452 -0.0631899 0.9905325
2.000000 0.0426615 -0.0016635 -0.0029421 0.0034123 0.1264795 -0.0656510 0.9897885
2.033333 0.0434991 -0.0017439 -0.0037932 0.0037484 0.1308701 -0.0681761 0.9890455
2.066667 0.0425693 -0.0018732 -0.0034913 0.0035424 0.1363838 -0.0716731 0.9880536
2.100000 0.0432453 -0.0027314 -0.0034265 0.0029973 0.1411423 -0.0742975 0.9871929
2.133333 0.0468689 -0.0028801 -0.0045144 0.0034128 0.1446798 -0.0767855 0.9864888
2.166667 0.0487658 -0.0030690 -0.0056842 0.0037651 0.1490063 -0.0786906 0.9856930
2.200000 0.0488127 -0.0043423 -0.0062062 0.0033742 0.1544757 -0.0815599 0.9846186
2.233333 0.0504665 -0.0040206 -0.0073619 0.0036782 0.1591983 -0.0839872 0.9836608
2.266667 0.0498056 -0.0058481 -0.0087575 0.0030132 0.1646367 -0.0862264 0.9825735
2.300000 0.0480090 -0.0029672 -0.0077949 0.0045784 0.1710273 -0.0891582 0.9812133
2.333333 0.0515306 -0.0055602 -0.0089420 0.0042541 0.1738759 -0.0921614 0.9804363
2.366667 0.0520470 -0.0063642 -0.0098835 0.0041439 0.1786286 -0.0947599 0.9793341
2.400000 0.0469691 -0.0073517 -0.0077617 0.0036215 0.1864586 -0.0986383 0.9774920
2.433333 0.0493826 -0.0058637 -0.0094183 0.0046721 0.1903501 -0.1010528 0.9764903
2.466667 0.0526012 -0.0048529 -0.0106206 0.0051866 0.1943524 -0.1036960 0.9754216
2.500000 0.0489618 -0.0057683 -0.0104714 0.0046670 0.2006694 -0.1064612 0.9738460
2.533333 0.0558061 -0.0058860 -0.0124898 0.0052826 0.2024990 -0.1082812 0.9732633
2.566667 0.0579880 -0.0069669 -0.0137010 0.0054289 0.2061107 -0.1100274 0.9723080
2.600000 0.0620662 -0.0095676 -0.0150607 0.0048249 0.2087259 -0.1118702 0.9715427
2.633333 0.0618750 -0.0102731 -0.0167813 0.0049822 0.2173039 -0.1173563 0.9690107
2.666667 0.0616714 -0.0070517 -0.0162912 0.0062513 0.2218525 -0.1196706 0.9676887
2.700000 0.0637319 -0.0096498 -0.0166367 0.0052163 0.2250714 -0.1210717 0.9667768
2.733333 0.0671869 -0.0079981 -0.0181084 0.0063783 0.2277614 -0.1237088 0.9658055
2.766667 0.0661460 -0.0119385 -0.0182683 0.0044512 0.2322128 -0.1254375 0.9645324
2.800000 0.0663746 -0.0141257 -0.0186991 0.0037926 0.2359462 -0.1275201 0.9633554
2.833333 0.0675115 -0.0136897 -0.0198307 0.0043079 0.2396172 -0.1298719 0.9621322
2.866667 0.0728680 -0.0158779 -0.0204399 0.0036124 0.2411141 -0.1318998 0.9614850
2.900000 0.0723266 -0.0177607 -0.0211425 0.0025368 0.2446881 -0.1344747 0.9602280
2.933333 0.0697479 -0.0146343 -0.0212737 0.0033286 0.2499126 -0.1369487 0.9585289
2.966667 0.0691984 -0.0138348 -0.0217089 0.0031589 0.2542329 -0.1387010 0.9571403
3.000000 0.0701898 -0.0156544 -0.0230975 0.0023763 0.2572271 -0.1405619 0.9560705
3.033333 0.0728110 -0.0175801 -0.0231247 0.0015087 0.2594314 -0.1419477 0.9552717
3.066667 0.0726996 -0.0139769 -0.0236708 0.0025521 0.2631469 -0.1439574 0.9539515
3.100000 0.0711665 -0.0131464 -0.0232989 0.0024701 0.2672608 -0.1450085 0.9526479
3.133333 0.0758009 -0.0142238 -0.0241489 0.0021472 0.2680652 -0.1466611 0.9521697
3.166667 0.0759103 -0.0121292 -0.0245846 0.0028011 0.2712992 -0.1480265 0.9510400
3.200000 0.0798607 -0.0139271 -0.0256709 0.0018007 0.2724319 -0.1493696 0.9505085
3.233333 0.0827231 -0.0163924 -0.0270027 0.0003996 0.2737854 -0.1497993 0.9500535
3.266667 0.0807915 -0.0141148 -0.0262827 0.0013238 0.2771817 -0.1510126 0.9488750
3.300000 0.0840800 -0.0169794 -0.0272505 0.0003566 0.2779028 -0.1512498 0.9486271
3.333333 0.0868508 -0.0127843 -0.0283221 0.0024356 0.2789105 -0.1524474 0.9481364
3.366667 0.0861655 -0.0105074 -0.0285723 0.0027691 0.2815752 -0.1540096 0.9470949
3.400000 0.0866560 -0.0118177 -0.0285570 0.0010789 0.2834279 -0.1552381 0.9463449
3.433333 0.0851810 -0.0131325 -0.0286813 -0.0000851 0.2862247 -0.1560985 0.9453617
3.466667 0.0882090 -0.0119708 -0.0299274 -0.0001678 0.2871563 -0.1571757 0.9449005
3.500000 0.0890214 -0.0100347 -0.0299341 -0.0006948 0.2893668 -0.1569819 0.9442580
3.533333 0.0906474 -0.0101480 -0.0306673 -0.0018247 0.2911696 -0.1568227 0.9437286
3.566667 0.0914251 -0.0108190 -0.0315561 -0.0046373 0.2944297 -0.1566148 0.9427415
3.600000 0.0945576 -0.0106220 -0.0323345 -0.0059462 0.2944507 -0.1558449 0.9428551
3.633333 0.0950088 -0.0100957 -0.0328574 -0.0073927 0.2951586 -0.1562266 0.9425603
3.666667 0.0960200 -0.0118261 -0.0332805 -0.0098448 0.2953224 -0.1563370 0.9424683
3.700000 0.0977470 -0.0113488 -0.0347034 -0.0130472 0.2957285 -0.1565169 0.9422722
3.733333 0.0966544 -0.0106474 -0.0342465 -0.0146637 0.2966891 -0.1566168 0.9419298
3.766667 0.0968325 -0.0084276 -0.0350233 -0.0158838 0.2974369 -0.1563140 0.9417244
3.800000 0.0973216 -0.0092364 -0.0354427 -0.0187661 0.2979411 -0.1553301 0.9416748
3.833333 0.0965198 -0.0111018 -0.0365068 -0.0220691 0.2984136 -0.1543090 0.9416215
3.866667 0.0955299 -0.0092728 -0.0363126 -0.0231068 0.2990162 -0.1532777 0.9415739
3.900000 0.0951220 -0.0094784 -0.0375933 -0.0254367 0.2994510 -0.1517457 0.9416237
3.933333 0.0947396 -0.0091767 -0.0371025 -0.0274320 0.3001862 -0.1503543 0.9415569
3.966667 0.0955092 -0.0094985 -0.0371642 -0.0294791 0.3001062 -0.1487971 0.9417679
4.000000 0.0942788 -0.0086607 -0.0372616 -0.0304301 0.3005233 -0.1477054 0.9417765
4.033333 0.0944647 -0.0050523 -0.0376175 -0.0322059 0.2983935 -0.1459230 0.9426720
4.066667 0.0931419 -0.0067025 -0.0363911 -0.0354830 0.2967813 -0.1456491 0.9431056
4.100000 0.0948098 -0.0068801 -0.0374966 -0.0377302 0.2935587 -0.1437891 0.9443116
4.133333 0.0951224 -0.0066444 -0.0380084 -0.0395036 0.2912057 -0.1430909 0.9450734
4.166667 0.0964663 -0.0039743 -0.0376598 -0.0403264 0.2884943 -0.1423388 0.9459834
4.200000 0.0966576 -0.0063890 -0.0378285 -0.0434591 0.2862016 -0.1406643 0.9467912
4.233333 0.0966561 -0.0064479 -0.0381725 -0.0452600 0.2844932 -0.1391484 0.9474455
4.266667 0.0977316 -0.0071706 -0.0386146 -0.0475676 0.2822780 -0.1372208 0.9482758
4.300000 0.0907670 -0.0028773 -0.0367427 -0.0479908 0.2839324 -0.1363348 0.9478882
4.333333 0.0913315 -0.0010719 -0.0369759 -0.0478945 0.2814762 -0.1341949 0.9489304
4.366667 0.0921803 0.0018243 -0.0361894 -0.0467013 0.2785446 -0.1325627 0.9500837
4.400000 0.0957898 0.0026192 -0.0362531 -0.0464275 0.2741093 -0.1309190 0.9516138
