#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.066667 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1.633333 0.0370510 0.0003921 -0.0024892 0.0043638 0.0718818 -0.0431414 0.9964702
1.733333 0.0385817 -0.0009534 -0.0028258 0.0042920 0.0864647 -0.0480724 0.9950852
2.600000 0.0591768 -0.0046019 -0.0115185 0.0070046 0.2093062 -0.1118762 0.9714039
3.233333 0.0791660 -0.0077276 -0.0251085 0.0040185 0.2740772 -0.1481502 0.9502195
7.566667 0.0175978 0.0158609 -0.0024056 -0.0344281 -0.1361705 0.0456586 0.9890336
8.266667 -0.0027076 0.0065556 -0.0040271 -0.0285879 -0.2272294 0.0908169 0.9691759
8.633333 -0.0106683 0.0016170 -0.0077638 -0.0192927 -0.2646402 0.1110834 0.9577337
8.966667 -0.0183562 -0.0036709 -0.0125093 -0.0132181 -0.2990770 0.1256364 0.9458296
10.033333 -0.0305029 -0.0260657 -0.0261614 0.0197145 -0.3764358 0.1735299 0.9098323
10.266667 -0.0336505 -0.0292513 -0.0308144 0.0248912 -0.3969505 0.1846349 0.8987328
10.333333 -0.0344147 -0.0296415 -0.0323761 0.0255540 -0.4036542 0.1886450 0.8948873
11.333333 -0.0458255 -0.0224614 -0.0494828 -0.0156341 -0.4518133 0.1863320 0.8722962
11.833333 -0.0507505 -0.0069043 -0.0501566 -0.0456823 -0.4390886 0.1623462 0.8824727
12.200000 -0.0499184 0.0033700 -0.0463470 -0.0643257 -0.4167217 0.1410857 0.8957121
12.866667 -0.0396364 0.0202043 -0.0318305 -0.0734553 -0.3235763 0.1067178 0.9372908
13.400000 -0.0268443 0.0214945 -0.0230685 -0.0718888 -0.2459580 0.0800254 0.9632926
13.500000 -0.0246419 0.0213030 -0.0218677 -0.0709340 -0.2315184 0.0738492 0.9674264
19.600000 0.0824907 0.1241685 0.2253412 -0.0111951 0.3019821 -0.1650499 0.9388503
21.133333 0.0776115 0.1511741 0.2410554 -0.0756813 0.2795948 -0.1202014 0.9495529
21.433333 0.0669006 0.1539605 0.2491916 -0.0769470 0.2475750 -0.1059983 0.9599741
22.233333 0.0393962 0.1668151 0.2615929 -0.0695451 0.1338867 -0.0640675 0.9864751
22.300000 0.0371601 0.1672278 0.2623453 -0.0689364 0.1253786 -0.0612539 0.9878137
24.500000 -0.0350779 0.1644397 0.2822101 -0.0393635 -0.0946732 0.0294798 0.9942929
24.800000 -0.0387148 0.1598097 0.2829926 -0.0256157 -0.1072298 0.0429095 0.9929776
25.266667 -0.0408092 0.1545071 0.2866224 0.0018311 -0.1243482 0.0515478 0.9908971
25.533333 -0.0378291 0.1505538 0.2904490 0.0099787 -0.1475115 0.0600378 0.9871860
25.600000 -0.0349564 0.1488352 0.2916604 0.0119537 -0.1564264 0.0674841 0.9853090
26.100000 -0.0228484 0.1335058 0.2975092 0.0175224 -0.2100258 0.1040920 0.9719810
26.200000 -0.0208850 0.1289732 0.2992301 0.0163161 -0.2191257 0.1070365 0.9696705
26.466667 -0.0194184 0.1166976 0.3031052 0.0112559 -0.2374935 0.1196873 0.9639217
26.533333 -0.0199325 0.1140650 0.3045739 0.0002430 -0.2409901 0.1226997 0.9627401
26.633333 -0.0201092 0.1053356 0.3077815 -0.0012311 -0.2422838 0.1333756 0.9609932
26.933333 -0.0242176 0.0827494 0.3178544 0.0015939 -0.2494234 0.1351267 0.9589193
27.200000 -0.0282408 0.0614270 0.3295402 -0.0142360 -0.2538586 0.1322323 0.9580542
27.233333 -0.0281889 0.0569342 0.3313625 -0.0156302 -0.2532593 0.1322524 0.9581883
27.566667 -0.0325135 0.0295419 0.3459716 -0.0132985 -0.2570916 0.1325340 0.9571634
27.666667 -0.0325603 0.0194122 0.3497632 -0.0166818 -0.2573804 0.1292503 0.9574818
27.800000 -0.0325039 0.0093242 0.3529167 -0.0170785 -0.2598418 0.1265373 0.9571723
28.900000 -0.0295339 -0.0450491 0.3545711 0.0040551 -0.2155095 0.0893818 0.9723940
30.733333 -0.0377659 -0.0631033 0.3438551 0.0248021 -0.3637767 0.1792753 0.9137351
30.766667 -0.0376183 -0.0648029 0.3434015 0.0233565 -0.3683939 0.1806587 0.9116485
30.800000 -0.0378595 -0.0647264 0.3437550 0.0241978 -0.3730940 0.1818149 0.9094827
31.233333 -0.0432625 -0.0636558 0.3405935 0.0149745 -0.4344878 0.2088524 0.8760005
31.300000 -0.0428822 -0.0663712 0.3394052 0.0090475 -0.4450704 0.2084772 0.8708431
