#TimeStamp Tx Ty Tz Qx Qy Qz Qw
3192918783.262229 0.5528736 -0.2338025 0.7997919 -0.0510784 -0.0278986 -0.0193741 0.9981169
3192918784.884693 -0.9964836 -0.0834697 0.0073006 0.0294013 0.0734190 0.0455810 0.9958251
3192918785.082694 -0.0336143 0.0011300 0.0005913 0.0015776 0.0219863 -0.0029246 0.9997528
3192918785.115695 -0.0380987 0.0016681 0.0021101 0.0027096 0.0240615 -0.0051734 0.9996934
3192918785.148695 -0.0436362 0.0015827 0.0017880 0.0025585 0.0273377 -0.0076983 0.9995933
3192918785.181695 -0.0473228 0.0023546 0.0030707 0.0017134 0.0304947 -0.0088006 0.9994947
3192918785.214694 -0.0525910 0.0033658 0.0037491 0.0002465 0.0351495 -0.0090805 0.9993408
3192918785.247696 -0.0543274 0.0029399 0.0035607 -0.0024221 0.0391501 -0.0081643 0.9991971
3192918785.280695 -0.0549182 0.0033664 0.0049601 -0.0043912 0.0431015 -0.0048530 0.9990492
3192918785.313696 -0.0573153 0.0039790 0.0051900 -0.0047482 0.0480996 -0.0001654 0.9988313
3192918785.346696 -0.0600302 0.0039788 0.0068359 -0.0041195 0.0535231 0.0040929 0.9985497
3192918785.379697 -0.0604703 0.0033713 0.0073950 -0.0039179 0.0575801 0.0080057 0.9983011
3192918785.412696 -0.0605642 0.0030163 0.0074318 -0.0040698 0.0616902 0.0105955 0.9980308
3192918785.445697 -0.0619972 0.0026143 0.0079817 -0.0044716 0.0659676 0.0129008 0.9977283
3192918785.478697 -0.0676085 0.0017554 0.0105750 -0.0052533 0.0720435 0.0133512 0.9972983
3192918785.511698 -0.0702472 0.0002825 0.0116162 -0.0071775 0.0761067 0.0129184 0.9969901
3192918785.544697 -0.0718729 -0.0003444 0.0122984 -0.0085119 0.0791312 0.0129889 0.9967433
3192918785.577698 -0.0729827 -0.0006210 0.0136829 -0.0087976 0.0813684 0.0135053 0.9965538
3192918785.610698 -0.0701140 -0.0012182 0.0147370 -0.0089246 0.0813394 0.0141998 0.9965454
3192918785.643698 -0.0714752 -0.0017725 0.0164581 -0.0079802 0.0829560 0.0152191 0.9964050
3192918785.676698 -0.0720669 -0.0021951 0.0186565 -0.0052509 0.0840503 0.0172720 0.9962980
3192918785.709699 -0.0701850 -0.0044198 0.0198391 -0.0021784 0.0839156 0.0198655 0.9962724
3192918785.742699 -0.0675060 -0.0068097 0.0212510 0.0020082 0.0836512 0.0231673 0.9962237
3192918785.775699 -0.0661860 -0.0089206 0.0229661 0.0066799 0.0839353 0.0271834 0.9960780
3192918785.808699 -0.0650857 -0.0109223 0.0254162 0.0102516 0.0844015 0.0306699 0.9959069
3192918785.841700 -0.0656032 -0.0135480 0.0286236 0.0129180 0.0855260 0.0348203 0.9956435
3192918785.874700 -0.0657460 -0.0150754 0.0319454 0.0160630 0.0866197 0.0389732 0.9953492
3192918785.907700 -0.0653181 -0.0172862 0.0361970 0.0193582 0.0874388 0.0435397 0.9950297
3192918785.940701 -0.0636999 -0.0192990 0.0386267 0.0224819 0.0881013 0.0476031 0.9947194
3192918785.973701 -0.0635591 -0.0226494 0.0420386 0.0253535 0.0897772 0.0508727 0.9943386
3192918786.006701 -0.0625639 -0.0244606 0.0448120 0.0277645 0.0914752 0.0534132 0.9939861
3192918786.039701 -0.0607682 -0.0272244 0.0481503 0.0293073 0.0934735 0.0554916 0.9936420
3192918786.072701 -0.0606716 -0.0296809 0.0511764 0.0314768 0.0970137 0.0564181 0.9931840
3192918786.105702 -0.0582892 -0.0321178 0.0538154 0.0349376 0.0998435 0.0573467 0.9927346
3192918786.138701 -0.0567921 -0.0345583 0.0579146 0.0396634 0.1041194 0.0587986 0.9920326
3192918786.171703 -0.0558406 -0.0363176 0.0617731 0.0430042 0.1097653 0.0613915 0.9911273
3192918786.204702 -0.0536313 -0.0394318 0.0647333 0.0422105 0.1157589 0.0651183 0.9902413
3192918786.237703 -0.0532403 -0.0415101 0.0674722 0.0387931 0.1236905 0.0681261 0.9892192
3192918786.270702 -0.0533248 -0.0436765 0.0735257 0.0353286 0.1315539 0.0726068 0.9880151
3192918786.303704 -0.0531279 -0.0480315 0.0758811 0.0333942 0.1384460 0.0770304 0.9868048
