#TimeStamp Tx Ty Tz Qx Qy Qz Qw
3192918784.917693 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
3192918785.082694 -0.0225260 0.0001014 -0.0001702 0.0011125 0.0194167 -0.0035353 0.9998046
3192918785.148695 -0.0302071 -0.0003914 0.0000818 0.0016572 0.0243328 -0.0089748 0.9996623
3192918785.577698 -0.0580101 -0.0025784 0.0099028 -0.0099372 0.0794814 0.0119645 0.9967150
3192918786.567705 -0.0520398 -0.0626623 0.0976580 0.0457320 0.1863263 0.1140857 0.9747695
3192918786.831707 -0.0644744 -0.0868266 0.1340106 0.0504386 0.2780477 0.1450563 0.9482110
3192918786.897708 -0.0677282 -0.0938716 0.1412826 0.0538791 0.2958426 0.1517819 0.9415606
3192918787.128709 -0.0710272 -0.1107831 0.1657005 0.0461325 0.3327194 0.1677886 0.9268315
3192918787.359711 -0.0609940 -0.1259804 0.1887705 0.0516602 0.3329555 0.1789487 0.9243642
3192918787.524713 -0.0437951 -0.1373879 0.2061258 0.0668713 0.3246303 0.1891985 0.9243091
3192918787.920715 0.0024016 -0.1677189 0.2425339 0.0927376 0.2923435 0.1670226 0.9370371
3192918788.349719 0.0604014 -0.1986408 0.2889674 0.0985691 0.3021830 0.1493611 0.9363016
3192918788.448720 0.0773380 -0.2093755 0.3007355 0.0999431 0.3100551 0.1534608 0.9329132
3192918788.712722 0.1194068 -0.2310063 0.3244274 0.0832840 0.3100694 0.1674527 0.9321375
3192918789.042725 0.1804762 -0.2506624 0.3494972 0.1022647 0.2834768 0.1664473 0.9388707
3192918789.273727 0.2285911 -0.2684072 0.3645743 0.1184504 0.2817409 0.1752478 0.9358845
3192918789.966733 0.3156007 -0.3295416 0.4461079 0.1066813 0.3111566 0.1614049 0.9304564
3192918790.956740 0.4488458 -0.3950774 0.5421643 0.0834873 0.2418079 0.1245150 0.9586735
3192918791.253744 0.4720343 -0.4233107 0.5755774 0.1000535 0.2603761 0.1275026 0.9518070
3192918791.484745 0.4915700 -0.4426588 0.5967684 0.1198593 0.2630909 0.1333241 0.9479671
3192918791.715747 0.5045148 -0.4562630 0.6163254 0.1176257 0.2156799 0.1100625 0.9630849
3192918792.507753 0.5747938 -0.4662501 0.6307961 0.0798976 0.0645410 0.0495005 0.9934790
3192918793.332759 0.6041898 -0.4791385 0.6645901 0.0489851 0.0164814 0.0255419 0.9983369
3192918793.464760 0.6217957 -0.4840923 0.6793653 0.0546272 -0.0044258 0.0115638 0.9984301
3192918793.497761 0.6280312 -0.4883149 0.6807224 0.0540553 -0.0089070 0.0074252 0.9984706
3192918793.695763 0.6491624 -0.4995185 0.6998374 0.0573200 -0.0218728 -0.0032403 0.9981109
3192918793.761764 0.6545936 -0.5044783 0.7040548 0.0684670 -0.0175028 0.0001700 0.9974998
3192918793.827764 0.6649919 -0.5082425 0.7097862 0.0785708 -0.0188217 0.0031321 0.9967259
3192918793.860764 0.6682653 -0.5100183 0.7132781 0.0834943 -0.0200095 0.0043356 0.9962979
3192918794.487769 0.7043887 -0.5581763 0.7835549 0.1000761 -0.0497054 -0.0176022 0.9935815
3192918794.520769 0.7053733 -0.5606786 0.7861779 0.0987760 -0.0547706 -0.0206898 0.9933859
3192918794.553770 0.7057488 -0.5607325 0.7869181 0.0987860 -0.0604283 -0.0248358 0.9929617
3192918794.652770 0.7096068 -0.5652598 0.7928404 0.0937893 -0.0839828 -0.0456703 0.9909918
3192918794.685771 0.7142773 -0.5672612 0.7932549 0.0893791 -0.0941095 -0.0566360 0.9899228
3192918794.751771 0.7194558 -0.5690224 0.7996420 0.0771929 -0.1165760 -0.0703914 0.9876722
