#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520437771.418685 0.0399353 0.0062010 -0.0035199 0.0145849 0.0193821 0.0219761 0.9994642
1520437771.468687 0.0504440 0.0089806 -0.0028160 0.0151380 0.0174388 0.0214935 0.9995022
1520437771.518688 0.0593215 0.0068745 -0.0041080 0.0162970 0.0155122 0.0201680 0.9995434
1520437771.568681 0.0706539 0.0102604 -0.0043322 0.0189391 0.0126209 0.0163881 0.9996067
1520437771.618683 0.0826291 0.0113085 -0.0039099 0.0199964 0.0105889 0.0108643 0.9996849
1520437771.668684 0.0951806 0.0126918 -0.0048116 0.0207494 0.0103751 0.0060624 0.9997125
1520437771.718685 0.1054358 0.0113263 -0.0051742 0.0185971 0.0109720 0.0036351 0.9997603
1520437771.768687 0.1163607 0.0097962 -0.0051408 0.0166930 0.0114208 0.0028233 0.9997914
1520437771.818688 0.1255896 0.0116778 -0.0042635 0.0189987 0.0114216 0.0025508 0.9997510
1520437771.868690 0.1344921 0.0102492 -0.0047071 0.0196656 0.0122470 0.0023705 0.9997288
1520437771.918692 0.1454184 0.0085056 -0.0042073 0.0178047 0.0137178 0.0028649 0.9997433
1520437771.968685 0.1524196 0.0077347 -0.0020838 0.0177798 0.0177059 0.0053242 0.9996710
1520437772.018686 0.1609943 0.0051738 -0.0003910 0.0190108 0.0215193 0.0080080 0.9995556
1520437772.068688 0.1693996 0.0061893 0.0019650 0.0226187 0.0241099 0.0107795 0.9993953
1520437772.118689 0.1763372 0.0082870 0.0037767 0.0238837 0.0275377 0.0113624 0.9992708
1520437772.168690 0.1834053 0.0094253 0.0074591 0.0224796 0.0297827 0.0123599 0.9992272
1520437772.218692 0.1904407 0.0041194 0.0083501 0.0176788 0.0321818 0.0127207 0.9992447
1520437772.268694 0.1997935 0.0026135 0.0108543 0.0155445 0.0336158 0.0123457 0.9992377
1520437772.318695 0.2112045 0.0007541 0.0149262 0.0137509 0.0338272 0.0120567 0.9992604
1520437772.368691 0.2204715 -0.0005776 0.0193153 0.0125487 0.0339519 0.0121829 0.9992704
