#frame_time_stamp time_proc time_total
1403638518.077830 0.016885 0.017025
1403638518.127830 0.014734 0.014845
1403638518.177830 0.017958 0.018068
1403638518.227829 0.017347 0.017455
1403638518.277829 0.016339 0.016446
1403638518.327830 0.017658 0.017775
1403638518.377830 0.014507 0.014618
1403638518.427830 0.019228 0.019350
1403638518.477829 0.016564 0.016683
1403638518.527829 0.016013 0.016154
1403638518.577830 0.010669 0.010825
1403638518.627830 0.014443 0.014551
1403638518.677830 0.016601 0.016700
1403638518.727829 0.013948 0.014044
1403638518.777829 0.016730 0.016822
1403638518.827830 0.017166 0.017259
1403638518.877830 0.018806 0.018900
1403638518.927830 0.015577 0.015704
1403638518.977829 0.015998 0.016091
1403638519.027829 0.018892 0.018985
1403638519.077830 0.019240 0.019341
1403638519.127830 0.017851 0.017944
1403638519.177830 0.017161 0.017255
1403638519.227829 0.017834 0.017928
1403638519.277829 0.015745 0.015839
1403638519.327830 0.017984 0.018078
1403638519.377830 0.015420 0.015515
1403638519.427830 0.017037 0.017131
1403638519.477829 0.016811 0.016906
1403638519.527829 0.019221 0.019315
1403638519.577830 0.018725 0.018819
1403638519.627830 0.018435 0.018530
1403638519.677830 0.019059 0.019153
1403638519.727829 0.017085 0.017179
1403638519.777829 0.017377 0.017471
1403638519.827830 0.018087 0.018188
1403638519.877830 0.017490 0.017584
1403638519.927830 0.017727 0.017822
1403638519.977829 0.019447 0.019542
1403638520.027829 0.018392 0.018487
1403638520.077830 0.018524 0.018627
1403638520.127830 0.018543 0.018646
1403638520.177830 0.018104 0.018200
1403638520.227829 0.010210 0.010307
1403638520.277829 0.017068 0.017172
1403638520.327830 0.017750 0.017846
1403638520.377830 0.014588 0.014691
1403638520.427830 0.018448 0.018544
1403638520.477829 0.018752 0.018848
1403638520.527829 0.017922 0.018019
1403638520.577830 0.018813 0.018916
1403638520.627830 0.018454 0.018570
1403638520.677830 0.019312 0.019409
1403638520.727829 0.018410 0.018513
1403638520.777829 0.015484 0.015580
1403638520.827830 0.018765 0.018862
1403638520.877830 0.019392 0.019667
1403638520.927830 0.016403 0.016500
1403638520.977829 0.017797 0.017894
1403638521.027829 0.019225 0.019321
1403638521.077830 0.016895 0.016991
1403638521.127830 0.019329 0.019426
1403638521.177830 0.018154 0.018251
1403638521.227829 0.017501 0.017612
1403638521.277829 0.020043 0.020140
1403638521.327830 0.018692 0.018790
1403638521.377830 0.017495 0.017592
1403638521.427830 0.018875 0.018973
1403638521.477829 0.017663 0.017761
1403638521.527829 0.020097 0.020203
1403638521.577830 0.019286 0.019385
1403638521.627830 0.020099 0.020197
1403638521.677830 0.017874 0.017972
1403638521.727829 0.020180 0.020278
1403638521.777829 0.018542 0.018654
1403638521.827830 0.018967 0.019072
1403638521.877830 0.019197 0.019296
1403638521.927830 0.020521 0.020626
1403638521.977829 0.022244 0.022342
1403638522.027829 0.020704 0.020802
1403638522.077830 0.021136 0.021242
1403638522.127830 0.025563 0.025659
1403638522.177830 0.022831 0.022933
1403638522.227829 0.023602 0.023713
1403638522.277829 0.013700 0.013731
1403638522.327830 0.016996 0.017026
1403638522.377830 0.015582 0.015616
1403638522.427830 0.017360 0.017402
1403638522.477829 0.013293 0.013374
1403638522.527829 0.016848 0.016891
1403638522.577830 0.018566 0.018607
1403638522.627830 0.015243 0.015298
1403638522.677830 0.015667 0.015727
1403638522.727829 0.017011 0.017068
1403638522.777829 0.017028 0.017094
1403638522.827830 0.016486 0.016557
1403638522.877830 0.013475 0.013608
1403638522.927830 0.018115 0.018195
1403638522.977829 0.014305 0.014383
1403638523.027829 0.012667 0.012787
1403638523.077830 0.015298 0.015383
1403638523.127830 0.016117 0.016200
1403638523.177830 0.009825 0.009953
1403638523.227829 0.015814 0.015896
1403638523.277829 0.013558 0.013648
1403638523.327830 0.010399 0.010527
1403638523.377830 0.015025 0.015110
1403638523.427830 0.014800 0.014959
1403638523.477829 0.015756 0.015825
1403638523.527829 0.014196 0.014324
1403638523.577830 0.014547 0.014617
1403638523.627830 0.015883 0.015951
1403638523.677830 0.015433 0.015524
1403638523.727829 0.017284 0.017358
1403638523.777829 0.015730 0.015813
1403638523.827830 0.015640 0.015723
1403638523.877830 0.018589 0.018671
1403638523.927830 0.016052 0.016143
1403638523.977829 0.017947 0.018029
1403638524.027829 0.019276 0.019359
1403638524.077830 0.015902 0.015994
1403638524.127830 0.017385 0.017486
1403638524.177830 0.017076 0.017165
1403638524.227829 0.019714 0.019812
1403638524.277829 0.020801 0.020912
1403638524.327830 0.018443 0.018555
1403638524.377830 0.019268 0.019387
1403638524.427830 0.020930 0.021056
1403638524.477829 0.020206 0.020341
1403638524.527829 0.018247 0.018426
1403638524.577830 0.015961 0.016118
1403638524.627830 0.015942 0.016130
1403638524.677830 0.015137 0.015297
1403638524.727829 0.016555 0.016755
1403638524.777829 0.017051 0.017230
1403638524.827830 0.015598 0.015751
1403638524.877830 0.022552 0.022705
1403638524.927830 0.016174 0.016345
1403638524.977829 0.013314 0.013512
1403638525.027829 0.018547 0.018711
1403638525.077830 0.017651 0.017815
1403638525.127830 0.016130 0.016294
1403638525.177830 0.013350 0.013567
1403638525.227829 0.015546 0.015767
1403638525.277829 0.015321 0.015485
1403638525.327830 0.016111 0.016276
1403638525.377830 0.012496 0.012664
1403638525.427830 0.016434 0.016600
1403638525.477829 0.012631 0.012801
1403638525.527829 0.016254 0.016423
1403638525.577830 0.015580 0.015749
1403638525.627830 0.018844 0.019017
1403638525.677830 0.014581 0.014792
1403638525.727829 0.017550 0.017729
1403638525.777829 0.018747 0.018918
1403638525.827830 0.018719 0.018885
1403638525.877830 0.018140 0.018306
1403638525.927830 0.017157 0.017342
1403638525.977829 0.017889 0.018066
1403638526.027829 0.015774 0.015955
1403638526.077830 0.016403 0.016579
1403638526.127830 0.017986 0.018166
1403638526.177830 0.016957 0.017141
1403638526.227829 0.017569 0.017755
1403638526.277829 0.017306 0.017524
1403638526.327830 0.017873 0.018065
1403638526.377830 0.018454 0.018647
1403638526.427830 0.019684 0.019912
1403638526.477829 0.016234 0.016436
1403638526.527829 0.018645 0.019204
1403638526.577830 0.019361 0.019576
1403638526.627830 0.016834 0.017057
1403638526.677830 0.016316 0.016535
1403638526.727829 0.017495 0.017743
1403638526.777829 0.014491 0.014759
1403638526.827830 0.016445 0.016651
1403638526.877830 0.016148 0.016362
1403638526.927830 0.015738 0.015954
