#frame_time_stamp time_proc time_total
0.103612 0.021904 0.022018
0.207353 0.027639 0.027726
0.311118 0.024144 0.024232
0.414713 0.019333 0.019418
0.519947 0.013756 0.013848
0.622091 0.015453 0.015631
0.725703 0.024172 0.024272
0.829465 0.030800 0.030903
0.933038 0.025522 0.025619
1.036778 0.019799 0.019893
1.140398 0.014586 0.014683
1.244137 0.022041 0.022143
1.347751 0.028971 0.029070
1.451492 0.022955 0.023052
1.555107 0.018773 0.018870
1.658847 0.014856 0.014952
1.762586 0.011254 0.011358
1.866202 0.022977 0.023075
1.969964 0.029231 0.029325
2.073559 0.024769 0.024863
2.177298 0.018861 0.018951
2.281050 0.015680 0.015764
2.384674 0.013018 0.013099
2.488425 0.023495 0.023592
2.592012 0.030489 0.030573
2.695755 0.025272 0.025356
2.799368 0.019946 0.020028
2.903108 0.016928 0.017009
3.006750 0.013665 0.013746
3.110482 0.021760 0.021849
3.214204 0.030865 0.030949
3.317943 0.023749 0.023831
3.421685 0.019502 0.019585
3.525427 0.017825 0.017908
3.629166 0.014945 0.015026
3.732909 0.011720 0.011802
3.836660 0.010057 0.010145
3.940409 0.025458 0.025556
4.044264 0.032182 0.032274
4.148122 0.022942 0.023032
4.251862 0.021610 0.021700
4.355725 0.021355 0.021439
4.459611 0.015814 0.015840
4.563456 0.012966 0.012993
4.667325 0.012227 0.012260
4.771058 0.012608 0.012641
4.874947 0.013715 0.013767
4.978668 0.012948 0.012987
5.082534 0.014589 0.014898
5.186400 0.013324 0.013402
5.290138 0.012863 0.012906
5.394003 0.014807 0.014881
5.497872 0.014679 0.014767
5.601734 0.013126 0.013179
5.705475 0.015495 0.015560
5.809345 0.018709 0.018767
5.913083 0.016468 0.016533
6.016968 0.014797 0.014870
6.120823 0.012381 0.012462
6.224565 0.013801 0.013875
6.328440 0.014181 0.014261
6.432181 0.011232 0.011322
6.535919 0.013851 0.013973
6.639619 0.014503 0.014592
6.743256 0.015226 0.015323
6.847019 0.013373 0.013466
6.950676 0.014204 0.014313
