#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1311870431.099270 -0.0003513  0.0544145 -0.0004552 0.0028928 0.0040816 0.7062167 0.7079781
1311870431.131475 -0.0010859  0.0571494 -0.0003186 0.0020993 0.0056436 0.7067885 0.7073993
1311870431.163490 -0.0016427  0.0612521  0.0008402 0.0011452 0.0062190 0.7074597 0.7067254
1311870431.199595 -0.0025824  0.0662537  0.0022529 0.0007182 0.0070286 0.7084396 0.7057361
1311870431.231528 -0.0036640  0.0705912  0.0032349 -0.0002840  0.0079804  0.7089586  0.7052048
1311870431.263518 -0.0040072  0.0738285  0.0045811 -0.0015343  0.0092142  0.7090213  0.7051252
1311870431.299516 -0.0051401  0.0794546  0.0061652 -0.0020081  0.0099378  0.7088819  0.7052544
1311870431.331676 -0.0061477  0.0835569  0.0078339 -0.0032566  0.0114807  0.7090609  0.7050462
1311870431.363631 -0.0063667  0.0866184  0.0090297 -0.0044642  0.0127881  0.7094753  0.7046001
1311870431.399293 -0.0081605  0.0897765  0.0101701 -0.0048118  0.0134358  0.7096440  0.7044158
1311870431.431480 -0.0082446  0.0937867  0.0116900 -0.0050580  0.0128028  0.7097109  0.7043585
1311870431.463503 -0.0085022  0.0984079  0.0128238 -0.0050552  0.0126763  0.7100842  0.7039845
1311870431.499459 -0.0086095  0.1019247  0.0138620 -0.0053202  0.0135807  0.7105408  0.7035048
1311870431.531388 -0.0088813  0.1048421  0.0141495 -0.0052652  0.0148840  0.7108054  0.7032115
1311870431.563325 -0.0091817  0.1077468  0.0151504 -0.0046129  0.0157987  0.7110900  0.7029084
1311870431.599430 -0.0089526  0.1119843  0.0157936 -0.0038340  0.0163881  0.7108864  0.7031055
1311870431.631542 -0.0086501  0.1147440  0.0162620 -0.0031895  0.0185772  0.7116290  0.7023025
1311870431.663486 -0.0101493  0.1156691  0.0165566 -0.0022326  0.0204257  0.7118412  0.7020399
1311870431.699385 -0.0099407  0.1171666  0.0166834 -0.0010679  0.0199522  0.7125758  0.7013106
1311870431.731529 -0.0097545  0.1203134  0.0163817 0.0008750 0.0190851 0.7134073 0.7004891
1311870431.763721 -0.0089750  0.1229552  0.0163241 0.0020053 0.0186975 0.7140286 0.6998639
1311870431.799486 -0.0089734  0.1250403  0.0157575 0.0036445 0.0191460 0.7139097 0.6999665
1311870431.831541 -0.0085568  0.1261547  0.0155174 0.0047512 0.0190541 0.7136906 0.7001857
1311870431.863694 -0.0085525  0.1289523  0.0146277 0.0066755 0.0186091 0.7137691 0.7001020
1311870431.899573 -0.0084723  0.1312814  0.0147368 0.0077357 0.0181850 0.7135485 0.7003271
1311870431.931488 -0.0068008  0.1325934  0.0152272 0.0084956 0.0182833 0.7129992 0.7008749
1311870431.963564 -0.0070654  0.1357431  0.0149935 0.0101766 0.0190885 0.7122865 0.7015554
1311870431.999553 -0.0061458  0.1393389  0.0148085 0.0109326 0.0194423 0.7120926 0.7017312
1311870432.031509 -0.0059592  0.1417725  0.0151609 0.0119461 0.0210707 0.7124590 0.7012956
1311870432.063526 -0.0060977  0.1454547  0.0162384 0.0135405 0.0222560 0.7126432 0.7010428
1311870432.099459 -0.0067890  0.1503333  0.0181713 0.0147727 0.0241316 0.7127753 0.7008216
1311870432.131603 -0.0086686  0.1528869  0.0179987 0.0153098 0.0286236 0.7121342 0.7012925
1311870432.163607 -0.0097638  0.1520717  0.0177563 0.0132766 0.0295518 0.7107852 0.7026626
1311870432.199461 -0.0109679  0.1542123  0.0189695 0.0139207 0.0280868 0.7099618 0.7035422
1311870432.231754 -0.0093258  0.1579409  0.0199134 0.0139073 0.0249156 0.7107097 0.7029065
1311870432.263643 -0.0092219  0.1626617  0.0226839 0.0153005 0.0243819 0.7119761 0.7016135
1311870432.299615 -0.0087161  0.1667092  0.0241445 0.0157477 0.0257334 0.7121243 0.7014049
1311870432.331460 -0.0094127  0.1683886  0.0248797 0.0155560 0.0292162 0.7110279 0.7023843
