#frame_time_stamp time_proc time_total
1225719815.914872 0.016269 0.016375
1225719815.964865 0.013169 0.013281
1225719816.014858 0.015999 0.016069
1225719816.064851 0.013490 0.013602
1225719816.114844 0.016185 0.016256
1225719816.164837 0.012192 0.012282
1225719816.214831 0.016254 0.016325
1225719816.264825 0.012217 0.012309
1225719816.314817 0.016536 0.016607
1225719816.364811 0.013100 0.013171
1225719816.414805 0.016467 0.016543
1225719816.464797 0.012856 0.012929
1225719816.514789 0.016373 0.016444
1225719816.564784 0.013106 0.013177
1225719816.614777 0.011950 0.012021
1225719816.664770 0.012874 0.012946
1225719816.714770 0.016456 0.016528
1225719816.764763 0.013093 0.013164
1225719816.814764 0.016344 0.016418
1225719816.864764 0.015151 0.015224
1225719816.914763 0.016593 0.016665
1225719816.964755 0.015416 0.015488
1225719817.014756 0.016479 0.016551
1225719817.064759 0.015221 0.015294
1225719817.114757 0.016598 0.016670
1225719817.164750 0.015618 0.015690
1225719817.214749 0.014536 0.014609
1225719817.264750 0.015502 0.015573
1225719817.314753 0.016671 0.016743
1225719817.364743 0.015472 0.015544
1225719817.414744 0.016583 0.016655
1225719817.464743 0.015367 0.015439
1225719817.514736 0.016661 0.016734
1225719817.564737 0.015543 0.015615
1225719817.614737 0.016518 0.016591
1225719817.664737 0.015334 0.015407
1225719817.714732 0.016747 0.016820
1225719817.764730 0.015739 0.015812
1225719817.814731 0.014558 0.014631
1225719817.864729 0.015349 0.015422
1225719817.914724 0.016805 0.016878
1225719817.964723 0.015461 0.015534
1225719818.014723 0.016503 0.016577
1225719818.064717 0.015156 0.015230
1225719818.114715 0.016517 0.016592
1225719818.164715 0.015578 0.015651
1225719818.214716 0.016660 0.016734
1225719818.264712 0.013494 0.013605
1225719818.314708 0.014377 0.014450
1225719818.364708 0.012638 0.012738
1225719818.414709 0.014536 0.014609
1225719818.464702 0.012720 0.012814
1225719818.514702 0.017019 0.017093
1225719818.564703 0.012236 0.012318
1225719818.614699 0.017091 0.017165
1225719818.664696 0.011718 0.011799
1225719818.714695 0.017003 0.017077
1225719818.764695 0.013663 0.013736
1225719818.814688 0.014756 0.014830
1225719818.864687 0.013430 0.013504
1225719818.914689 0.014773 0.014846
1225719818.964690 0.013694 0.013768
1225719819.014682 0.014802 0.014876
1225719819.064682 0.013528 0.013603
1225719819.114682 0.018573 0.018870
1225719819.164675 0.015995 0.016071
1225719819.214675 0.017166 0.017241
1225719819.264676 0.015941 0.016015
1225719819.314674 0.017186 0.017263
