#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520617235.258378  0.1414287 -0.0649984 -0.0661989  0.0124635 -0.6844775  0.7265263 -0.0591156
1520617235.308379  0.1558289 -0.0649330 -0.0689082  0.0136615 -0.6884360  0.7219896 -0.0678254
1520617235.358381  0.1671312 -0.0645887 -0.0727690  0.0159578 -0.6931827  0.7165655 -0.0760055
1520617235.408336  0.1784976 -0.0635648 -0.0769227  0.0183279 -0.6985239  0.7108275 -0.0803295
1520617235.458338  0.1866328 -0.0628531 -0.0821047  0.0203717 -0.7026342  0.7063154 -0.0837184
1520617235.508339  0.1919825 -0.0614702 -0.0851911  0.0213967 -0.7061009  0.7026059 -0.0854906
1520617235.558341  0.1947513 -0.0591570 -0.0901406  0.0208963 -0.7079102  0.7005895 -0.0871825
1520617235.608342  0.1955012 -0.0567325 -0.0939505  0.0183302 -0.7091643  0.6992862 -0.0880275
1520617235.658343  0.1942843 -0.0539707 -0.0990639  0.0126296 -0.7093740  0.6989816 -0.0897430
1520617235.708345  0.1882789 -0.0510763 -0.1010106  0.0072118 -0.7098908  0.6983382 -0.0912510
1520617235.758349  0.1823140 -0.0481359 -0.1060250  0.0014410 -0.7093884  0.6990556 -0.0899295
1520617235.808436  0.1727152 -0.0446641 -0.1082163 -0.0036372 -0.7087603  0.7001184 -0.0864855
1520617235.858438  0.1610007 -0.0423523 -0.1120652 -0.0087281 -0.7062015  0.7034215 -0.0800089
1520617235.908439  0.1445579 -0.0412071 -0.1124783 -0.0124491 -0.7036082  0.7069417 -0.0708091
1520617235.958444  0.1297813 -0.0372684 -0.1149740 -0.0170155 -0.7014088  0.7102038 -0.0578509
1520617236.008442  0.1081057 -0.0342700 -0.1157498 -0.0204455 -0.7023961  0.7099649 -0.0466003
1520617236.058444  0.0977823 -0.0266929 -0.1211001 -0.0294788 -0.7040655  0.7087501 -0.0331080
1520617236.108472  0.0775496 -0.0211465 -0.1230052 -0.0350943 -0.7075245  0.7054698 -0.0221327
1520617236.158447  0.0577675 -0.0146780 -0.1241402 -0.0413810 -0.7093194  0.7035361 -0.0138029
1520617236.208462  0.0376237 -0.0090559 -0.1260911 -0.0462446 -0.7095008  0.7031564 -0.0064206
1520617236.258463  0.0170586 -0.0033471 -0.1294155 -0.0480686 -0.7088995  0.7036663  0.0021533
1520617236.308465 -0.0012008  0.0016583 -0.1335108 -0.0496850 -0.7081385  0.7042640  0.0091395
1520617236.358466 -0.0178996  0.0071195 -0.1331511 -0.0533373 -0.7086064  0.7034980  0.0110756
1520617236.408468 -0.0369489  0.0124102 -0.1332306 -0.0557886 -0.7095849  0.7023027  0.0121593
1520617236.458469 -0.0572201  0.0154262 -0.1347429 -0.0594540 -0.7112387  0.7002550  0.0157403
1520617236.508471 -0.0758216  0.0183624 -0.1366958 -0.0659594 -0.7141678  0.6965827  0.0196549
1520617236.558472 -0.0963245  0.0170507 -0.1447004 -0.0721588 -0.7155702  0.6944136  0.0232863
1520617236.608474 -0.1130432  0.0179618 -0.1488682 -0.0816520 -0.7177281  0.6908607  0.0301808
1520617236.658486 -0.1371655  0.0184018 -0.1506625 -0.0913916 -0.7192198  0.6877561  0.0369047
1520617236.708487 -0.1634034  0.0140775 -0.1620945 -0.1030237 -0.7158386  0.6893531  0.0418750
1520617236.758489 -0.1838749  0.0141479 -0.1585207 -0.1143738 -0.7147857  0.6881290  0.0497842
1520617236.808490 -0.2069967  0.0113001 -0.1587624 -0.1232238 -0.7106792  0.6903450  0.0563452
1520617236.858492 -0.2310065  0.0082697 -0.1603236 -0.1288940 -0.7065948  0.6928371  0.0639284
1520617236.908493 -0.2563215  0.0064019 -0.1592081 -0.1329535 -0.7051765  0.6924888  0.0742211
1520617236.958495 -0.2806213  0.0054411 -0.1594287 -0.1378762 -0.7054603  0.6898092  0.0864829
1520617237.008497 -0.3059986  0.0040114 -0.1595203 -0.1450498 -0.7072308  0.6848330  0.0989390
1520617237.058559 -0.3311265  0.0044041 -0.1587381 -0.1542559 -0.7084978  0.6795762  0.1114104
1520617237.108560 -0.3540782  0.0039479 -0.1550601 -0.1646047 -0.7083309  0.6753933  0.1225421
1520617237.158562 -0.3780245  0.0048999 -0.1510154 -0.1754480 -0.7056802  0.6747419  0.1263202
1520617237.208563 -0.3988616  0.0049675 -0.1484599 -0.1868014 -0.7006396  0.6768921  0.1265961
1520617237.258565 -0.4202625  0.0051466 -0.1457713 -0.1952508 -0.6964352  0.6787613  0.1270363
1520617237.308566 -0.4418332  0.0061955 -0.1446123 -0.2008200 -0.6930823  0.6801102  0.1294538
1520617237.358568 -0.4612598  0.0081849 -0.1538313 -0.2014293 -0.6883620  0.6840224  0.1330317
1520617237.408569 -0.4803441  0.0053671 -0.1457003 -0.2022493 -0.6902118  0.6820964  0.1320885
1520617237.458640 -0.5000180  0.0031924 -0.1445180 -0.1979533 -0.6902453  0.6838024  0.1295771
1520617237.508641 -0.5157110  0.0018266 -0.1408240 -0.1924480 -0.6886098  0.6881882  0.1231967
1520617237.558643 -0.5209695  0.0098624 -0.1087783 -0.1893271 -0.6938618  0.6840473  0.1216151
1520617237.608644 -0.5418495  0.0083379 -0.1088851 -0.1830441 -0.6891130  0.6909852  0.1189856
1520617237.658646 -0.5593070  0.0070718 -0.1037968 -0.1779619 -0.6878796  0.6938126  0.1173685
1520617237.708647 -0.5738041  0.0039437 -0.0992330 -0.1705679 -0.6892434  0.6945080  0.1162276
1520617237.758703 -0.5864884  0.0016611 -0.0901807 -0.1613489 -0.6938089  0.6928201  0.1122326
1520617237.808650 -0.5965278 -0.0024946 -0.0817719 -0.1495137 -0.6968256  0.6928902  0.1094668
1520617237.858612 -0.6030042 -0.0061035 -0.0686421 -0.1362623 -0.6979490  0.6944901  0.1094682
1520617237.908614 -0.6082917 -0.0109722 -0.0577021 -0.1233032 -0.6929513  0.7017689  0.1101596
1520617237.958615 -0.6107248 -0.0152625 -0.0474552 -0.1127988 -0.6852516  0.7111934  0.1091357
1520617238.008617 -0.6110645 -0.0200053 -0.0375172 -0.1040198 -0.6796166  0.7182598  0.1067894
1520617238.058618 -0.6063615 -0.0279837 -0.0183614 -0.0962590 -0.6811098  0.7187544  0.1010731
1520617238.108620 -0.5997662 -0.0308510 -0.0091354 -0.0865075 -0.6845476  0.7175543  0.0950095
1520617238.158621 -0.5887650 -0.0334338 -0.0040598 -0.0745734 -0.6914331  0.7132864  0.0870718
1520617238.208623 -0.5788793 -0.0359606 -0.0013823 -0.0609182 -0.7011158  0.7065461  0.0742848
1520617238.258472 -0.5642788 -0.0372980  0.0079765 -0.0462329 -0.7120293  0.6980427  0.0601102
1520617238.308473 -0.5499059 -0.0380553  0.0147646 -0.0314750 -0.7188935  0.6928360  0.0466875
1520617238.358475 -0.5354934 -0.0412784  0.0122990 -0.0195545 -0.7199713  0.6928295  0.0353029
1520617238.408476 -0.5185064 -0.0444875  0.0086541 -0.0110033 -0.7215604  0.6918176  0.0248575
1520617238.458478 -0.5033139 -0.0476893  0.0026296 -0.0033327 -0.7257223  0.6878930  0.0109242
1520617238.508479 -0.4811674 -0.0498083 -0.0040149  0.0004189 -0.7342201  0.6789035 -0.0032679
1520617238.558481 -0.4621706 -0.0508380 -0.0150746  0.0050132 -0.7442492  0.6676162 -0.0188837
1520617238.608482 -0.4407435 -0.0513552 -0.0233407  0.0107894 -0.7558036  0.6539282 -0.0319747
1520617238.658516 -0.4185767 -0.0512385 -0.0319862  0.0186326 -0.7635292  0.6442027 -0.0409736
1520617238.708519 -0.3936376 -0.0534589 -0.0386200  0.0244017 -0.7684009  0.6377044 -0.0479354
1520617238.758520 -0.3718892 -0.0545051 -0.0470824  0.0282720 -0.7701289  0.6348568 -0.0553081
1520617238.808521 -0.3432729 -0.0529256 -0.0504331  0.0281949 -0.7729975  0.6303383 -0.0659811
1520617238.858523 -0.3197446 -0.0535712 -0.0578911  0.0288201 -0.7762556  0.6247051 -0.0796257
1520617238.908524 -0.2948596 -0.0545782 -0.0653041  0.0296401 -0.7806809  0.6176036 -0.0906901
1520617238.958526 -0.2736222 -0.0552759 -0.0728871  0.0339456 -0.7858561  0.6092158 -0.1006677
1520617239.008528 -0.2527133 -0.0541433 -0.0796452  0.0399758 -0.7911699  0.6006540 -0.1080131
1520617239.058529 -0.2324671 -0.0547480 -0.0867810  0.0475441 -0.7948747  0.5939242 -0.1147513
1520617239.509168 0.0174780 0.0226642 0.0026737  0.0674322 -0.8207253  0.5610710 -0.0840370
1520617239.559169  0.0380462  0.0142550 -0.0008003  0.0742177 -0.8179155  0.5620183 -0.0981905
1520617239.609171  0.0603836  0.0044818 -0.0025755  0.0802309 -0.8158501  0.5615844 -0.1121363
