#frame_time_stamp time_proc time_total
0.066667 0.016685 0.016772
0.100000 0.012688 0.012737
0.133333 0.012899 0.012949
0.166667 0.014195 0.014245
0.200000 0.012381 0.012431
0.233333 0.012659 0.012709
0.266667 0.012550 0.012652
0.300000 0.012316 0.012366
0.333333 0.012829 0.012879
0.366667 0.012257 0.012360
0.400000 0.012083 0.012137
0.433333 0.012511 0.012561
0.466667 0.012211 0.012320
0.500000 0.011834 0.011884
0.533333 0.012365 0.012415
0.566667 0.011532 0.011637
0.600000 0.011066 0.011116
0.633333 0.011179 0.011283
0.666667 0.011995 0.012108
0.700000 0.011426 0.011476
0.733333 0.011598 0.011701
0.766667 0.010942 0.011052
0.800000 0.011526 0.011576
0.833333 0.010217 0.010313
0.866667 0.012009 0.012120
0.900000 0.011095 0.011146
0.933333 0.012065 0.012115
0.966667 0.010932 0.011036
1.000000 0.011510 0.011561
1.033333 0.011214 0.011317
1.066667 0.012133 0.012244
1.100000 0.011866 0.011917
1.133333 0.013489 0.013577
1.166667 0.011841 0.011889
1.200000 0.011607 0.011632
1.233333 0.011279 0.011330
1.266667 0.011979 0.012032
1.300000 0.009628 0.009676
1.333333 0.012246 0.012270
1.366667 0.010472 0.010521
1.400000 0.010034 0.010088
1.433333 0.011382 0.011433
1.466667 0.009886 0.009938
1.500000 0.011788 0.011814
1.533333 0.010989 0.011043
1.566667 0.011255 0.011308
1.600000 0.010673 0.010726
1.633333 0.011735 0.011791
1.666667 0.013449 0.013507
1.700000 0.011433 0.011460
1.733333 0.010572 0.010621
1.766667 0.010542 0.010598
1.800000 0.009160 0.009209
1.833333 0.011362 0.011422
1.866667 0.010773 0.010830
1.900000 0.011805 0.011834
1.933333 0.011610 0.011665
1.966667 0.012137 0.012197
2.000000 0.011270 0.011299
2.033333 0.011750 0.011813
2.066667 0.012680 0.012741
2.100000 0.011460 0.011488
2.133333 0.010000 0.010061
2.166667 0.011021 0.011081
2.200000 0.011215 0.011247
2.233333 0.011452 0.011512
2.266667 0.011803 0.011866
2.300000 0.010808 0.010873
2.333333 0.009204 0.009259
2.366667 0.010525 0.010591
2.400000 0.008499 0.008554
2.433333 0.008708 0.008772
2.466667 0.010626 0.010691
2.500000 0.008067 0.008126
2.533333 0.009992 0.010086
2.566667 0.010656 0.010720
2.600000 0.010686 0.010752
2.633333 0.011172 0.011237
2.666667 0.010543 0.010607
2.700000 0.008875 0.008940
2.733333 0.009448 0.009514
2.766667 0.009549 0.009614
2.800000 0.009957 0.010024
2.833333 0.010482 0.010551
2.866667 0.009620 0.009710
2.900000 0.011363 0.011566
2.933333 0.009692 0.009760
2.966667 0.009280 0.009358
3.000000 0.008732 0.008799
3.033333 0.008950 0.009028
3.066667 0.008314 0.008380
3.100000 0.008054 0.008121
3.133333 0.007685 0.007739
3.166667 0.010075 0.010146
3.200000 0.010319 0.010388
3.233333 0.009977 0.010059
3.266667 0.009431 0.009520
3.300000 0.009053 0.009127
3.333333 0.008411 0.008481
3.366667 0.008793 0.008862
3.400000 0.008460 0.008529
3.433333 0.008135 0.008204
3.466667 0.008578 0.008647
3.500000 0.007895 0.007964
3.533333 0.008661 0.008731
3.566667 0.008332 0.008400
3.600000 0.009244 0.009313
3.633333 0.008201 0.008279
3.666667 0.007973 0.008042
3.700000 0.007336 0.007406
3.733333 0.007665 0.007750
3.766667 0.006414 0.006483
3.800000 0.007026 0.007110
3.833333 0.006971 0.007044
3.866667 0.008155 0.008227
3.900000 0.007089 0.007160
3.933333 0.007336 0.007408
3.966667 0.007002 0.007073
4.000000 0.007409 0.007482
4.033333 0.006714 0.006786
4.066667 0.006628 0.006700
4.100000 0.006158 0.006229
4.133333 0.006091 0.006162
4.166667 0.006499 0.006571
4.200000 0.006209 0.006283
4.233333 0.005865 0.005938
4.266667 0.006072 0.006148
4.300000 0.006717 0.006798
4.333333 0.006556 0.006631
4.366667 0.006733 0.006808
4.400000 0.005483 0.005559
4.433333 0.006310 0.006386
4.466667 0.005782 0.005860
4.500000 0.006538 0.006613
4.533333 0.005885 0.005957
4.566667 0.006670 0.006747
4.600000 0.006506 0.006604
4.633333 0.007043 0.007111
4.666667 0.007039 0.007117
4.700000 0.006920 0.006999
4.733333 0.006883 0.006948
4.766667 0.006519 0.006598
4.800000 0.006838 0.006917
4.833333 0.005501 0.005564
4.866667 0.005761 0.005841
4.900000 0.006021 0.006100
4.933333 0.005083 0.005146
4.966667 0.006004 0.006083
5.000000 0.006551 0.006631
5.033333 0.006059 0.006124
5.066667 0.006641 0.006724
5.100000 0.006208 0.006289
5.133333 0.006612 0.006691
5.166667 0.006731 0.006814
5.200000 0.006413 0.006495
5.233333 0.006773 0.006854
5.266667 0.005890 0.005970
5.300000 0.006568 0.006649
5.333333 0.006196 0.006277
5.366667 0.006439 0.006521
5.400000 0.005527 0.005612
5.433333 0.005884 0.005964
5.466667 0.005632 0.005713
5.500000 0.006189 0.006273
5.533333 0.005794 0.005875
5.566667 0.006477 0.006561
5.600000 0.007478 0.007577
5.633333 0.006959 0.007048
5.666667 0.006823 0.006905
5.700000 0.006411 0.006494
5.733333 0.007038 0.007122
5.766667 0.006819 0.006901
5.800000 0.007295 0.007377
5.833333 0.007352 0.007434
5.866667 0.005938 0.006021
5.900000 0.006447 0.006535
5.933333 0.007364 0.007448
5.966667 0.006391 0.006475
6.000000 0.007305 0.007388
6.033333 0.006562 0.006653
6.066667 0.006568 0.006652
6.100000 0.005730 0.005814
6.133333 0.006205 0.006288
6.166667 0.006372 0.006459
6.200000 0.008613 0.008700
6.233333 0.007081 0.007160
6.266667 0.006938 0.007024
6.300000 0.006919 0.007005
6.333333 0.007132 0.007210
6.366667 0.007121 0.007208
6.400000 0.007272 0.007359
6.433333 0.006153 0.006227
6.466667 0.006782 0.006867
6.500000 0.007249 0.007335
6.533333 0.006405 0.006474
6.566667 0.007188 0.007274
6.600000 0.007710 0.007795
6.633333 0.006035 0.006105
6.666667 0.007310 0.007397
6.700000 0.007146 0.007233
6.733333 0.006766 0.006831
6.766667 0.007350 0.007435
6.800000 0.006379 0.006465
6.833333 0.006511 0.006577
6.866667 0.006878 0.006965
6.900000 0.006915 0.007001
6.933333 0.006222 0.006284
6.966667 0.007340 0.007426
7.000000 0.006664 0.006751
7.033333 0.006605 0.006692
7.066667 0.005833 0.005918
7.100000 0.006024 0.006123
7.133333 0.007309 0.007400
7.166667 0.007851 0.007941
7.200000 0.007670 0.007759
7.233333 0.007581 0.007670
7.266667 0.007613 0.007702
7.300000 0.007750 0.007839
7.333333 0.007364 0.007454
7.366667 0.007428 0.007531
7.400000 0.007165 0.007253
7.433333 0.007850 0.007938
7.466667 0.007681 0.007769
7.500000 0.007923 0.008012
7.533333 0.007727 0.007816
7.566667 0.007500 0.007589
7.600000 0.007314 0.007402
7.633333 0.007135 0.007243
7.666667 0.007100 0.007192
7.700000 0.007744 0.007835
7.733333 0.007213 0.007305
7.766667 0.007103 0.007192
7.800000 0.008230 0.008322
7.833333 0.007622 0.007713
7.866667 0.007529 0.007620
7.900000 0.007785 0.007876
7.933333 0.006996 0.007087
7.966667 0.007971 0.008061
8.000000 0.007476 0.007566
8.033333 0.007932 0.008023
8.066667 0.007465 0.007556
8.100000 0.006759 0.006849
8.133333 0.007189 0.007280
8.166667 0.007917 0.008006
8.200000 0.006875 0.006966
8.233333 0.007605 0.007695
8.266667 0.007328 0.007419
8.300000 0.006742 0.006837
8.333333 0.007785 0.007879
8.366667 0.007728 0.007822
8.400000 0.007822 0.007915
8.433333 0.008785 0.008878
8.466667 0.008451 0.008544
8.500000 0.007803 0.007896
8.533333 0.007695 0.007787
8.566667 0.007387 0.007480
8.600000 0.008224 0.008317
8.633333 0.009507 0.009604
8.666667 0.008057 0.008154
8.700000 0.007698 0.007791
8.733333 0.006863 0.006956
8.766667 0.007246 0.007338
8.800000 0.006676 0.006769
8.833333 0.006849 0.006950
8.866667 0.007162 0.007259
8.900000 0.008808 0.008905
8.933333 0.008173 0.008270
8.966667 0.007650 0.007745
9.000000 0.008751 0.008847
9.033333 0.008351 0.008449
9.066667 0.007049 0.007145
9.100000 0.007314 0.007411
9.133333 0.007444 0.007544
9.166667 0.007697 0.007793
9.200000 0.007026 0.007137
9.233333 0.007345 0.007443
9.266667 0.007097 0.007212
9.300000 0.007867 0.007971
9.333333 0.007275 0.007373
9.366667 0.007778 0.007874
9.400000 0.007282 0.007380
9.433333 0.006903 0.007007
9.466667 0.006473 0.006569
9.500000 0.007145 0.007241
9.533333 0.007133 0.007230
9.566667 0.008925 0.009035
9.600000 0.007152 0.007248
9.633333 0.007510 0.007605
9.666667 0.007899 0.008007
9.700000 0.008886 0.008986
9.733333 0.008541 0.008641
9.766667 0.008126 0.008225
9.800000 0.008907 0.009005
9.833333 0.008592 0.008692
9.866667 0.007952 0.008051
9.900000 0.008903 0.009002
9.933333 0.007140 0.007238
9.966667 0.008138 0.008237
10.000000 0.008185 0.008287
10.033333 0.007244 0.007345
10.066667 0.008302 0.008401
10.100000 0.008112 0.008214
10.133333 0.008787 0.008880
10.166667 0.008146 0.008258
10.200000 0.008421 0.008523
10.233333 0.007336 0.007439
10.266667 0.008005 0.008106
10.300000 0.008029 0.008135
10.333333 0.007747 0.007848
10.366667 0.007722 0.007825
10.400000 0.007506 0.007607
10.433333 0.007844 0.007949
10.466667 0.007360 0.007459
10.500000 0.007808 0.007915
10.533333 0.009180 0.009287
10.566667 0.007809 0.007914
10.600000 0.007594 0.007699
10.633333 0.007251 0.007357
10.666667 0.007538 0.007642
10.700000 0.007904 0.008010
10.733333 0.007470 0.007575
10.766667 0.007242 0.007346
10.800000 0.007701 0.007809
10.833333 0.009540 0.009643
10.866667 0.008825 0.008936
10.900000 0.009010 0.009126
10.933333 0.008501 0.008612
10.966667 0.008270 0.008382
11.000000 0.008303 0.008416
11.033333 0.010078 0.010189
11.066667 0.009211 0.009325
11.100000 0.008660 0.008782
11.133333 0.008935 0.009054
11.166667 0.008348 0.008463
11.200000 0.007191 0.007305
11.233333 0.007989 0.008107
11.266667 0.008667 0.008784
11.300000 0.008192 0.008319
11.333333 0.008235 0.008355
11.366667 0.008420 0.008542
11.400000 0.008731 0.008849
11.433333 0.009929 0.010600
11.466667 0.011521 0.011669
11.500000 0.011296 0.011356
11.533333 0.008413 0.008531
11.566667 0.009824 0.009949
11.600000 0.008912 0.009037
11.633333 0.009017 0.009146
11.666667 0.009095 0.009220
11.700000 0.007717 0.007843
11.733333 0.007997 0.008122
11.766667 0.008549 0.008686
11.800000 0.008975 0.009111
11.833333 0.007997 0.008125
11.866667 0.008632 0.008783
11.900000 0.007907 0.008046
11.933333 0.008414 0.008543
11.966667 0.008976 0.009109
12.000000 0.008733 0.008869
12.033333 0.009332 0.009462
12.066667 0.007736 0.007877
12.100000 0.007849 0.008105
12.133333 0.008978 0.009115
12.166667 0.009502 0.009864
12.200000 0.008774 0.008912
12.233333 0.008862 0.009024
12.266667 0.007993 0.008162
12.300000 0.006783 0.006925
12.333333 0.008164 0.008305
12.366667 0.007708 0.007851
12.400000 0.008045 0.008191
12.433333 0.007707 0.007848
12.466667 0.007495 0.007636
12.500000 0.007856 0.008000
12.533333 0.008019 0.008164
12.566667 0.008427 0.008589
12.600000 0.008581 0.008738
12.633333 0.008423 0.008567
12.666667 0.008909 0.009077
12.700000 0.008052 0.008195
12.733333 0.008064 0.008230
12.766667 0.008245 0.008417
12.800000 0.009168 0.009313
12.833333 0.007374 0.007517
12.866667 0.007763 0.007928
12.900000 0.008574 0.008727
12.933333 0.007682 0.007825
12.966667 0.009032 0.009198
13.000000 0.008469 0.008612
13.033333 0.008871 0.009016
13.066667 0.007698 0.007840
13.100000 0.007474 0.007617
13.133333 0.007249 0.007419
13.166667 0.009225 0.009376
13.200000 0.007529 0.007663
13.233333 0.007804 0.007976
13.266667 0.008446 0.008590
13.300000 0.007657 0.007799
13.333333 0.007550 0.007694
13.366667 0.007251 0.007402
13.400000 0.008258 0.008402
13.433333 0.008175 0.008329
13.466667 0.009496 0.009661
13.500000 0.008199 0.008342
13.533333 0.009382 0.009526
13.566667 0.007590 0.007733
13.600000 0.008728 0.008872
13.633333 0.009245 0.009391
13.666667 0.008287 0.008431
13.700000 0.008498 0.008652
13.733333 0.008525 0.008669
13.766667 0.008350 0.008504
13.800000 0.009377 0.009530
13.833333 0.008682 0.008845
13.866667 0.007908 0.008055
13.900000 0.009304 0.009450
13.933333 0.009846 0.010003
13.966667 0.010247 0.010392
14.000000 0.008996 0.009139
14.033333 0.010366 0.010528
14.066667 0.009590 0.009752
14.100000 0.010049 0.010197
14.133333 0.009181 0.009319
14.166667 0.009169 0.009316
14.200000 0.009700 0.009876
14.233333 0.011988 0.012063
14.266667 0.009299 0.009430
14.300000 0.009839 0.009991
14.333333 0.009886 0.010040
14.366667 0.010192 0.010347
14.400000 0.008465 0.008613
14.433333 0.010815 0.010986
14.466667 0.010937 0.011091
14.500000 0.010474 0.010627
14.533333 0.009946 0.010084
14.566667 0.011118 0.011250
14.600000 0.010491 0.010644
14.633333 0.010386 0.010527
14.666667 0.011014 0.011188
14.700000 0.011822 0.011907
14.733333 0.012140 0.012212
14.766667 0.011584 0.011728
14.800000 0.011527 0.011603
14.833333 0.010031 0.010156
14.866667 0.012041 0.012197
14.900000 0.008366 0.008492
14.933333 0.011593 0.011736
14.966667 0.011649 0.011809
15.000000 0.013395 0.013921
