#frame_time_stamp time_proc time_total
1520437769.068617 0.009269 0.009353
1520437769.118623 0.008793 0.008883
1520437769.168626 0.007432 0.007483
1520437769.218627 0.004200 0.004233
1520437769.268629 0.004252 0.004286
1520437769.318630 0.004163 0.004198
1520437769.368632 0.003926 0.003961
1520437769.418633 0.003884 0.003918
1520437769.468635 0.008148 0.008182
1520437769.518636 0.003919 0.003953
1520437769.568637 0.003966 0.004000
1520437769.618639 0.003928 0.003962
1520437769.668640 0.008910 0.008990
1520437769.718642 0.003968 0.004003
1520437769.768643 0.003753 0.003788
1520437769.818645 0.008284 0.008360
1520437769.868647 0.008285 0.008332
1520437769.918636 0.008151 0.008236
1520437769.968638 0.008278 0.008355
1520437770.018639 0.007768 0.007845
1520437770.068641 0.007670 0.007746
1520437770.118642 0.007661 0.007737
1520437770.168644 0.007973 0.008049
1520437770.218646 0.007291 0.007367
1520437770.268647 0.007236 0.007313
1520437770.318649 0.007365 0.007443
1520437770.368661 0.007339 0.007416
1520437770.418662 0.007275 0.007351
1520437770.468664 0.007624 0.007701
1520437770.518665 0.007292 0.007369
1520437770.568667 0.007521 0.007598
1520437770.618668 0.007282 0.007358
1520437770.668670 0.007728 0.007806
1520437770.718671 0.007627 0.007705
1520437770.768672 0.007347 0.007426
1520437770.818678 0.007428 0.007506
1520437770.868675 0.007194 0.007271
1520437770.918676 0.006961 0.007039
1520437770.968678 0.006986 0.007064
1520437771.018679 0.007018 0.007095
1520437771.068681 0.007435 0.007519
1520437771.118684 0.007205 0.007284
1520437771.168677 0.007139 0.007218
1520437771.218679 0.007416 0.007496
1520437771.268680 0.007130 0.007216
1520437771.318682 0.007235 0.007315
1520437771.368683 0.006900 0.006981
1520437771.418685 0.006917 0.006996
1520437771.468687 0.007036 0.007118
1520437771.518688 0.005892 0.005966
1520437771.568681 0.006804 0.006885
1520437771.618683 0.007270 0.007350
1520437771.668684 0.006917 0.006996
1520437771.718685 0.006784 0.006865
1520437771.768687 0.006903 0.006996
1520437771.818688 0.007186 0.007266
1520437771.868690 0.007071 0.007151
1520437771.918692 0.007272 0.007351
1520437771.968685 0.007382 0.007461
1520437772.018686 0.010594 0.010758
1520437772.068688 0.011179 0.011240
1520437772.118689 0.011405 0.011458
1520437772.168690 0.013659 0.013712
1520437772.218692 0.011940 0.011995
1520437772.268694 0.011462 0.011519
1520437772.318695 0.010870 0.010925
1520437772.368691 0.012154 0.012212
1520437772.418693 0.012086 0.012145
1520437772.468694 0.014245 0.014302
1520437772.518695 0.012933 0.012990
1520437772.568697 0.011975 0.012036
1520437772.618698 0.010158 0.010214
1520437772.668700 0.012845 0.012904
1520437772.718702 0.012230 0.012286
1520437772.768703 0.011804 0.011863
1520437772.818692 0.012834 0.012863
1520437772.868693 0.012157 0.012213
1520437772.918695 0.011764 0.011823
